wd|ciic|o3d|cisp
Q85395521|181|181. Emlagh West|EMLGW
Q85395522|182||GLNMO
Q85395523|183||GLHAN
Q85395524|184||GORGH
Q85395526|185|185. Inishvickillane|INVIC
Q85395599|186|186. Kilfountain|KFNTN
Q85395528|187|187. Kilmalkedar|KMKDR
Q85395530|188|188. Kinard East I|KINET
Q85395530|189|189. Kinard East II|KINET
Q85395562|190|190. Lugnagappul I|LUGUL
Q85395562|191|191. Lugnagappul II|LUGUL
Q85395622|192|192. Martramane|MRAME
Q85395564|193|193. Maumanorig|MAUIG
Q85395627|194||RTHDF
Q85395627|194a||RTHDF
Q85395567|195|195. Rathmalode I|RTHOD
Q85395567|196|196. Rathmalode II|RTHOD
Q69379704|197|197. Coolmagort I|COOLM
Q69379704|198|198. Coolmagort II|COOLM
Q69379704|199|199. Coolmagort III|COOLM
Q69379704|200|200. Coolmagort IV|COOLM
Q69379704|201|201. Coolmagort V|COOLM
Q69379704|202|202. Coolmagort VI|COOLM
Q69379704|203|203. Coolmagort VII|COOLM
Q85395570|204||CURMO
Q85395535|205|205. Derrygariff|DERIV
Q85395537|206|206. Kilcoolaght East I|KLCOO
Q85395537|207|207. Kilcoolaght East II|KLCOO
Q85395537|208|208. Kilcoolaght East III|KLCOO
Q85395537|209|209. Kilcoolaght East IV|KLCOO
Q85395537|210|210. Kilcoolaght East V|KLCOO
Q85395537|211|211. Kilcoolaght East VI|KLCOO
Q85395537|212|212. Kilcoolaght East VII|KLCOO
Q85395537|213|213. Kilcoolaght East VIII|KLCOO
Q85395538|214|215. Whitefield I|KLGOB
Q85395538|214|216. Whitefield II|KLGOB
Q85395538|214|217. Whitefield III|KLGOB
Q85395539|215|218. Whitefield IV|WHFLD
Q85395539|216||WHFLD
Q85395539|217||WHFLD
Q85395539|218||WHFLD
Q85395539|218a||WHFLD
Q85395602|219||DEGAS
Q85395573|220|220. Derrynane|DENAN
Q85395540|221||DRLUS
Q85395541|222||MANGE
Q85395605|223|223. Parknasilla|PRKLA
Q85395543|224||DROUK
Q85395607|225||GRTMA
Q85395624|226||INAGH
Q85395546|227||LMNGH
Q85395548|228||COHIL
Q85395576|229||CARIN
Q85395549|230|230. Cloghanecarhan|CLCAH
Q85395579|231||COOLE
Q85395579|232||COOLE
Q85395550|233||DKEAR
Q85395582|234||KLKEE
Q85395618|235||KLGRO
Q85395551|236||KLURL
Q85395551|237||KLURL
Q85395585|238||LETER
Q85396891|239||LETWE
Q85396810|240||TERMY
Q85396894|241|241. Kilbonane|KLBON
Q85396972|242|242. Parkavonear|PARAR
Q85396972|242a||PARAR
Q85396812|243||RFILD
Q85396812|244||RFILD
Q85396812|245||RFILD
Q85396812|246||RFILD
Q85396815|246a||ARDCT
Q85396815|246b||ARDCT
Q85396974|247||AYWAG
Q85396897|248||BAWGL
Q85396931|249||BHILL
Q85396820|250||COBOY
Q85396823|251||CRAG
Q85396933|252|252. Gurrane|GURAN
Q85396826|253|253. Killorglin|KLORG
Q85396936|254||KLORG
Q85396900|255|255. Tinnahally I|TINAH
Q85396900|256|256. Tinnahally II|TINAH
Q85396830|256a||TRALE
Q85396834|257||BAYEL
Q85396837|258||BGARR
Q85396939|259||MNTRU
Q85396941|260||NEWLE
Q85396903|261||PRIES
Q85396840|262||SCHUD
Q85396905|263|263. Ardmore I|AMORE
Q85396905|264|264. Ardmore II|AMORE
Q85396905|265|265. Ardmore III|AMORE
Q85396907|266|266. Dromore I|DROMR
Q85396907|267|267. Dromore II|DROMR
Q85396907|268|268. Dromore III|DROMR
Q85396845|269||GRANG
Q85396847|270||BLVOO
Q85396847|271||BLVOO
Q85396849|272|272. Drumlohan I|DRUML
Q85396849|273|273. Drumlohan II|DRUML
Q85396849|274|274. Drumlohan III|DRUML
Q85396849|275|275. Drumlohan IV|DRUML
Q85396849|276|276. Drumlohan V|DRUML
Q85396849|277|277. Drumlohan VI|DRUML
Q85396849|278|278. Drumlohan VII|DRUML
Q85396849|279|279. Drumlohan VIII|DRUML
Q85396849|280|280. Drumlohan IX|DRUML
