"label"|"desc"|"country"|"country_label"|"site"|"county"|"representing_insc"|"ino"|"st_astext"|"cisp_wd"|"o3d_wd"|"ciic_wd"
"327 (Ogham Stone Concept by the Research Squirrel Ogham Project)"|"Ogham Stone, Ireland"|"Q27"|"Ireland"|"Q106626870"|NULL|"BECCDINN MACI/ R/ITTECC"|327|"POINT(-10.2832 51.9376)"|"Q106675412"|"Q106674343"|NULL
"349 (Ogham Stone Concept by the Research Squirrel Ogham Project)"|"Ogham Stone, Ireland"|"Q27"|"Ireland"|NULL|NULL|"--]D[--]T[-- ||| --]M[A!][--]C[--][R!][--][G!][--"|349|NULL|"Q106675725"|NULL|NULL
"364 (Ogham Stone Concept by the Research Squirrel Ogham Project)"|"Ogham Stone, Ireland"|"Q27"|"Ireland"|NULL|NULL|NULL|364|NULL|"Q106675723"|NULL|NULL
