"stone"|"item"
"Q106675694"|"Q106681028"
"Q106675506"|"Q106680713"
"Q70892679"|"Q106680848"
"Q70892457"|"Q106680718"
"Q70892474"|"Q106680725"
"Q106674302"|"Q106681176"
"Q106674199"|"Q106680824"
"Q106674246"|"Q106680937"
"Q70892402"|"Q106680693"
"Q106674330"|"Q106680718"
"Q106675524"|"Q106681246"
"Q70892555"|"Q106680794"
"Q70892378"|"Q106680604"
"Q106675679"|"Q106681197"
"Q70892923"|"Q106681049"
"Q106675586"|"Q106681251"
"Q70892975"|"Q106681158"
"Q106675554"|"Q106680931"
"Q70892993"|"Q106681171"
"Q106674299"|"Q106681175"
"Q106675656"|"Q106681217"
"Q106674280"|"Q106681115"
"Q106675460"|"Q106680691"
"Q106675670"|"Q106680579"
"Q70892962"|"Q106681124"
"Q106674310"|"Q106680597"
"Q106675568"|"Q106680968"
"Q70892648"|"Q106680836"
"Q70892632"|"Q106680829"
"Q106674288"|"Q106681124"
"Q106674173"|"Q106680757"
"Q70892556"|"Q106680795"
"Q70892442"|"Q106680712"
"Q70892950"|"Q106681116"
"Q70892459"|"Q106680719"
"Q70892844"|"Q106680972"
"Q106675707"|"Q106680948"
"Q106675459"|"Q106680606"
"Q70892813"|"Q106680957"
"Q106674192"|"Q106680817"
"Q70892972"|"Q106681157"
"Q106675640"|"Q106681256"
"Q70892818"|"Q106680960"
"Q106675533"|"Q106680956"
"Q106674319"|"Q106680693"
"Q106675689"|"Q106680725"
"Q106674188"|"Q106680812"
"Q106675601"|"Q106681177"
"Q106675525"|"Q106680857"
"Q70892316"|"Q106680580"
"Q106675409"|"Q106680961"
"Q106675498"|"Q106680592"
"Q106675604"|"Q106681214"
"Q106675480"|"Q106680951"
"Q70892682"|"Q106680850"
"Q69385424"|"Q106680733"
"Q106675472"|"Q106680693"
"Q70892288"|"Q106680569"
"Q106675357"|"Q106680821"
"Q106675693"|"Q106681026"
"Q106674253"|"Q106680947"
"Q106675578"|"Q106680967"
"Q106675653"|"Q106680712"
"Q70892943"|"Q106681113"
"Q70892810"|"Q106680956"
"Q70892438"|"Q106680711"
"Q106674343"|"Q106681367 "
"Q106675546"|"Q106680565"
"Q106675420"|"Q106680563"
"Q70892719"|"Q106680865"
"Q70892761"|"Q106680933"
"Q70892859"|"Q106680980"
"Q70892549"|"Q106680788"
"Q106675527"|"Q106680595"
"Q106675411"|"Q106680591"
"Q106675632"|"Q106680779"
"Q70892490"|"Q106680747"
"Q106675427"|"Q106680586"
"Q70892914"|"Q106681033"
"Q106674344"|"Q106681206"
"Q106674337"|"Q106680755"
"Q106675547"|"Q106680765"
"Q106675575"|"Q106681210"
"Q106675385"|"Q106680832"
"Q69377850"|"Q106680759"
"Q106675542"|"Q106681248"
"Q106674283"|"Q106681119"
"Q70892636"|"Q106680832"
"Q106674323"|"Q106680696"
"Q106675574"|"Q106681162"
"Q70892306"|"Q106680575"
"Q70899515"|"Q106680565"
"Q70892801"|"Q106680951"
"Q106674182"|"Q106680780"
"Q70892808"|"Q106680955"
"Q70892539"|"Q106680784"
"Q106674279"|"Q106681113"
"Q106675367"|"Q106680838"
"Q70892424"|"Q106680703"
"Q106674181"|"Q106680575"
"Q106674203"|"Q106680828"
"Q70892999"|"Q106681173"
"Q106674349"|"Q106681213"
"Q70892536"|"Q106680782"
"Q106675539"|"Q106680560"
"Q106675603"|"Q106681184"
"Q70892714"|"Q106680864"
"Q106674215"|"Q106680853"
"Q106675583"|"Q106681000"
"Q70892286"|"Q106680568"
"Q106674247"|"Q106680938"
"Q106674296"|"Q106681172"
"Q70885701"|"Q106681048"
"Q106675461"|"Q106681239"
"Q70892416"|"Q106680702"
"Q106675418"|"Q106680578"
"Q106674234"|"Q106680583"
"Q106675566"|"Q106681228"
"Q106675390"|"Q106681112"
"Q106675424"|"Q106680583"
"Q106675522"|"Q106680763"
"Q85411181"|"Q106681198"
"Q106675592"|"Q106681165"
"Q70892584"|"Q106680810"
"Q106674348"|"Q106681210"
"Q70892757"|"Q106680931"
"Q106674329"|"Q106680716"
"Q106675481"|"Q106681052"
"Q106675663"|"Q106680979"
"Q106675332"|"Q106680749"
"Q106674250"|"Q106680945"
"Q70885697"|"Q106680752"
"Q70892774"|"Q106680938"
"Q70892468"|"Q106680724"
"Q106675389"|"Q106681109"
"Q106675396"|"Q106680571"
"Q106675508"|"Q106680801"
"Q106675328"|"Q106680758"
"Q106674297"|"Q106681173"
"Q70892609"|"Q106680819"
"Q106675509"|"Q106681126"
"Q70892940"|"Q106681112"
"Q106674231"|"Q106680881"
"Q106675393"|"Q106681226"
"Q70892857"|"Q106680979"
"Q70892722"|"Q106680868"
"Q69383434"|"Q106680773"
"Q70892739"|"Q106680901"
"Q106674309"|"Q106680596"
"Q106675557"|"Q106680936"
"Q70892484"|"Q106680732"
"Q106674205"|"Q106680831"
"Q70892278"|"Q106680564"
"Q70899530"|"Q106680585"
"Q106675697"|"Q106680580"
"Q106674340"|"Q106681203"
"Q70892453"|"Q106680716"
"Q70892582"|"Q106680808"
"Q106675700"|"Q106681265"
"Q70892683"|"Q106680852"
"Q106674208"|"Q106680580"
"Q70892935"|"Q106681055"
"Q106674243"|"Q106680934"
"Q106675311"|"Q106681200"
"Q106675371"|"Q106680985"
"Q106675406"|"Q106680722"
"Q70892578"|"Q106680806"
"Q106674328"|"Q106680713"
"Q106675625"|"Q106680952"
"Q106675467"|"Q106680950"
"Q70892907"|"Q106681026"
"Q106675691"|"Q106680975"
"Q70892772"|"Q106680937"
"Q106674190"|"Q106680814"
"Q106675655"|"Q106681190"
"Q106675335"|"Q106680752"
"Q106675445"|"Q106680568"
"Q70892924"|"Q106681050"
"Q106674186"|"Q106680808"
"Q106674254"|"Q106680948"
"Q106674281"|"Q106681116"
"Q106675475"|"Q106681240"
"Q70892978"|"Q106681159"
"Q106674212"|"Q106680844"
"Q106675680"|"Q106681261"
"Q106674256"|"Q106680950"
"Q106675678"|"Q106680875"
"Q70892930"|"Q106681051"
"Q70892754"|"Q106680929"
"Q70892695"|"Q106680856"
"Q70892653"|"Q106680838"
"Q106675535"|"Q106680688"
"Q106674171"|"Q106680756"
"Q106674336"|"Q106680754"
"Q106675405"|"Q106680848"
"Q70892292"|"Q106680570"
"Q106675652"|"Q106680953"
"Q70892353"|"Q106680591"
"Q70892629"|"Q106680826"
"Q70885727"|"Q106680763"
"Q70885690"|"Q106680745"
"Q106675306"|"Q106681049"
"Q106675352"|"Q106680816"
"Q70892784"|"Q106680944"
"Q70892852"|"Q106680977"
"Q70892982"|"Q106681161"
"Q70892750"|"Q106680927"
"Q106675300"|"Q106680806"
"Q70892558"|"Q106680796"
"Q106674200"|"Q106680825"
"Q106675338"|"Q106680739"
"Q106674263"|"Q106681200"
"Q70885720"|"Q106680744"
"Q106675356"|"Q106680820"
"Q70892689"|"Q106680854"
"Q106674224"|"Q106680864"
"Q106675598"|"Q106681175"
"Q70892701"|"Q106680858"
"Q70892814"|"Q106680959"
"Q70892660"|"Q106680842"
"Q106675482"|"Q106681053"
"Q70893020"|"Q106681181"
"Q106675346"|"Q106681204"
"Q106674196"|"Q106680821"
"Q106675403"|"Q106680843"
"Q70892785"|"Q106680945"
"Q106675471"|"Q106680966"
"Q70892369"|"Q106680601"
"Q106675561"|"Q106680942"
"Q106675423"|"Q106680582"
"Q106675684"|"Q106680879"
"Q106674236"|"Q106680921"
"Q106675703"|"Q106680567"
"Q70892920"|"Q106681047"
"Q70892938"|"Q106681109"
"Q106675320"|"Q106680707"
"Q70892592"|"Q106680812"
"Q106675555"|"Q106680933"
"Q106674345"|"Q106681207"
"Q70892452"|"Q106680715"
"Q70892380"|"Q106680605"
"Q70892957"|"Q106681121"
"Q106675494"|"Q106681122"
"Q106675362"|"Q106680983"
"Q70892561"|"Q106680798"
"Q106675339"|"Q106680741"
"Q106675615"|"Q106680601"
"Q106674272"|"Q106681050"
"Q70892987"|"Q106681164"
"Q106674352"|"Q106681217"
"Q70892534"|"Q106680781"
"Q106675642"|"Q106681178"
"Q85409967"|"Q106681197"
"Q70892630"|"Q106680828"
"Q106675541"|"Q106680564"
"Q67510124"|"Q106680603"
"Q70892312"|"Q106680578"
"Q106675329"|"Q106680736"
"Q106674292"|"Q106681157"
"Q106674233"|"Q106680901"
"Q106674334"|"Q106680732"
"Q106675444"|"Q106680702"
"Q106674277"|"Q106681053"
"Q106675341"|"Q106680744"
"Q70892540"|"Q106680785"
"Q106674327"|"Q106680705"
"Q106675623"|"Q106680864"
"Q106675343"|"Q106680745"
"Q106675593"|"Q106681171"
"Q106675704"|"Q106680945"
"Q106675510"|"Q106681127"
"Q106675404"|"Q106680847"
"Q70892303"|"Q106680573"
"Q106675571"|"Q106681159"
"Q106675501"|"Q106681191"
"Q106675591"|"Q106680860"
"Q106675375"|"Q106680813"
"Q106675314"|"Q106680811"
"Q70892799"|"Q106680950"
"Q70892669"|"Q106680844"
"Q70892476"|"Q106680727"
"Q106674353"|"Q106681218"
"Q70885712"|"Q106680746"
"Q106675641"|"Q106681257"
"Q70892851"|"Q106680976"
"Q106675388"|"Q106680835"
"Q106675643"|"Q106680605"
"Q70382438"|"Q106680775"
"Q70892430"|"Q106680705"
"Q106675633"|"Q106680780"
"Q106674261"|"Q106680977"
"Q106674175"|"Q106681222"
"Q106675358"|"Q106681225"
"Q70892706"|"Q106680860"
"Q106674270"|"Q106680589"
"Q70893016"|"Q106681179"
"Q70892626"|"Q106680825"
"Q106674331"|"Q106680719"
"Q106675303"|"Q106680716"
"Q70892434"|"Q106680707"
"Q106675664"|"Q106680980"
"Q70892932"|"Q106681052"
"Q106674317"|"Q106680691"
"Q85410013"|"Q106681201"
"Q106674174"|"Q106680758"
"Q70892393"|"Q106680688"
"Q106674249"|"Q106680942"
"Q106675563"|"Q106681227"
"Q106675319"|"Q106680706"
"Q70892778"|"Q106680939"
"Q70892686"|"Q106680853"
"Q106674225"|"Q106680865"
"Q106675518"|"Q106680711"
"Q70892912"|"Q106681030"
"Q70892674"|"Q106680846"
"Q106675431"|"Q106680761"
"Q106675407"|"Q106680723"
"Q106674355"|"Q106681219"
"Q70892823"|"Q106680962"
"Q106675531"|"Q106680685"
"Q106674287"|"Q106680591"
"Q70892550"|"Q106680791"
"Q106675685"|"Q106680566"
"Q70892599"|"Q106680815"
"Q106674313"|"Q106680602"
"Q106675701"|"Q106681202"
"Q106675497"|"Q106681195"
"Q70892670"|"Q106680845"
"Q106675570"|"Q106681158"
"Q106675626"|"Q106680871"
"Q70892513"|"Q106680762"
"Q106674207"|"Q106680836"
"Q106674232"|"Q106680892"
"Q70892431"|"Q106680706"
"Q70892545"|"Q106680787"
"Q106675658"|"Q106681258"
"Q106675392"|"Q106681181"
"Q70892572"|"Q106680802"
"Q106675477"|"Q106681242"
"Q106674294"|"Q106681171"
"Q70892276"|"Q106680563"
"Q70892848"|"Q106680975"
"Q106674193"|"Q106680818"
"Q106674342"|"Q106681205"
"Q70892734"|"Q106680881"
"Q70892732"|"Q106680879"
"Q70885739"|"Q106680769"
"Q106675355"|"Q106680819"
"Q106675614"|"Q106681252"
"Q106674198"|"Q106680823"
"Q106675359"|"Q106680759"
"Q106674273"|"Q106681051"
"Q106674240"|"Q106680931"
"Q106675634"|"Q106680781"
"Q106675330"|"Q106680747"
"Q70892676"|"Q106680847"
"Q106675602"|"Q106680698"
"Q106675296"|"Q106681196"
"Q106675573"|"Q106681161"
"Q70892478"|"Q106680728"
"Q106675528"|"Q106681056"
"Q106675499"|"Q106680593"
"Q106674298"|"Q106681174"
"Q70893047"|"Q106681190"
"Q70893050"|"Q106681191"
"Q70892563"|"Q106680799"
"Q106675310"|"Q106681229"
"Q106675457"|"Q106680792"
"Q106675644"|"Q106680977"
"Q106675401"|"Q106680727"
"Q70892616"|"Q106680822"
"Q70892450"|"Q106680714"
"Q106674242"|"Q106680933"
"Q106675709"|"Q106681185"
"Q106675490"|"Q106681117"
"Q106675323"|"Q106680755"
"Q70892365"|"Q106680597"
"Q70893058"|"Q106681195"
"Q106674189"|"Q106680813"
"Q106675669"|"Q106681260"
"Q70899544"|"Q106680589"
"Q106674258"|"Q106680586"
"Q106675419"|"Q106681237"
"Q106675529"|"Q106680704"
"Q106675347"|"Q106680603"
"Q106674265"|"Q106680588"
"Q70892302"|"Q106680571"
"Q106674222"|"Q106680863"
"Q70892951"|"Q106681117"
"Q70892488"|"Q106680738"
"Q106675304"|"Q106680718"
"Q70892602"|"Q106680816"
"Q106674206"|"Q106680832"
"Q106674267"|"Q106681000"
"Q70893056"|"Q106681194"
"Q106675639"|"Q106681255"
"Q70892959"|"Q106681122"
"Q70892917"|"Q106681036"
"Q106675504"|"Q106681243"
"Q106675295"|"Q106680570"
"Q70892569"|"Q106680801"
"Q70892567"|"Q106680800"
"Q106675326"|"Q106680757"
"Q106675322"|"Q106680754"
"Q106675517"|"Q106680710"
"Q106675552"|"Q106680715"
"Q70892725"|"Q106680871"
"Q106675596"|"Q106681174"
"Q106675478"|"Q106680569"
"Q106675610"|"Q106680771"
"Q70892342"|"Q106680590"
"Q70892780"|"Q106680942"
"Q106675628"|"Q106680784"
"Q106674260"|"Q106680976"
"Q106674238"|"Q106680928"
"Q106675361"|"Q106681180"
"Q106675436"|"Q106680881"
"Q106675543"|"Q106680724"
"Q70893002"|"Q106681174"
"Q106674154"|"Q106680571"
"Q70892376"|"Q106680602"
"Q70892414"|"Q106680701"
"Q106674226"|"Q106680868"
"Q70899519"|"Q106680567"
"Q106675605"|"Q106680767"
"Q106674221"|"Q106680862"
"Q70893017"|"Q106681180"
"Q106675627"|"Q106680782"
"Q70885695"|"Q106680739"
"Q106675585"|"Q106681250"
"Q70892359"|"Q106680594"
"Q70892919"|"Q106681039"
"Q106674177"|"Q106680573"
"Q106675348"|"Q106681230"
"Q106675534"|"Q106680996"
"Q70892864"|"Q106680981"
"Q70892952"|"Q106681119"
"Q106675620"|"Q106681253"
"Q70892436"|"Q106680709"
"Q70892361"|"Q106680595"
"Q106675479"|"Q106681189"
"Q106675617"|"Q106680597"
"Q106675440"|"Q106680921"
"Q70892968"|"Q106681127"
"Q106674335"|"Q106680753"
"Q106675428"|"Q106680587"
"Q70899522"|"Q106680577"
"Q106674285"|"Q106681121"
"Q106674269"|"Q106681028"
"Q70885716"|"Q106680741"
"Q106675382"|"Q106680828"
"Q106675437"|"Q106680892"
"Q106675661"|"Q106680576"
"Q70892367"|"Q106680600"
"Q106675350"|"Q106680679"
"Q70892410"|"Q106680699"
"Q106674255"|"Q106680585"
"Q106675562"|"Q106680577"
"Q106675587"|"Q106680970"
"Q106675398"|"Q106680846"
"Q106674213"|"Q106680846"
"Q70892390"|"Q106680687"
"Q106674351"|"Q106681215"
"Q106675710"|"Q106681186"
"Q106674347"|"Q106681209"
"Q106674304"|"Q106681177"
"Q106675681"|"Q106681262"
"Q70892388"|"Q106680686"
"Q106675469"|"Q106680852"
"Q70892655"|"Q106680839"
"Q70892485"|"Q106680736"
"Q70892643"|"Q106680834"
"Q106675489"|"Q106681116"
"Q70892970"|"Q106681129"
"Q70893003"|"Q106681175"
"Q106675649"|"Q106681047"
"Q70892531"|"Q106680779"
"Q106675686"|"Q106681048"
"Q106674217"|"Q106680854"
"Q106675454"|"Q106681182"
"Q106675491"|"Q106681119"
"Q70885713"|"Q106680748"
"Q70892409"|"Q106680698"
"Q106675581"|"Q106681164"
"Q70893044"|"Q106681188"
"Q106675486"|"Q106681113"
"Q106675394"|"Q106680839"
"Q70892791"|"Q106680947"
"Q70892731"|"Q106680877"
"Q106675607"|"Q106680769"
"Q70892937"|"Q106681056"
"Q70892704"|"Q106680859"
"Q70892834"|"Q106680967"
"Q67978531"|"Q106680928"
"Q106675503"|"Q106680854"
"Q106675324"|"Q106680756"
"Q85409935"|"Q106680821"
"Q106674248"|"Q106680939"
"Q70892996"|"Q106681172"
"Q106675668"|"Q106681259"
"Q106674210"|"Q106680842"
"Q106674306"|"Q106680594"
"Q70892894"|"Q106680993"
"Q70892659"|"Q106680841"
"Q106675637"|"Q106680799"
"Q106675331"|"Q106680748"
"Q70892481"|"Q106680730"
"Q106675595"|"Q106681173"
"Q106675302"|"Q106680808"
"Q106674316"|"Q106680688"
"Q106675476"|"Q106681241"
"Q70892620"|"Q106680823"
"Q106675621"|"Q106681254"
"Q106675473"|"Q106680709"
"Q70899516"|"Q106680566"
"Q106674237"|"Q106680927"
"Q106675584"|"Q106681007"
"Q70893052"|"Q106681192"
"Q70892354"|"Q106680592"
"Q106675380"|"Q106680826"
"Q106674214"|"Q106680850"
"Q106675370"|"Q106680694"
"Q70892523"|"Q106680767"
"Q106674209"|"Q106680841"
"Q106675433"|"Q106680965"
"Q70892827"|"Q106680964"
"Q70892594"|"Q106680813"
"Q70892966"|"Q106681126"
"Q106675516"|"Q106680796"
"Q106674220"|"Q106680860"
"Q106675451"|"Q106680993"
"Q106675421"|"Q106680989"
"Q106675558"|"Q106680937"
"Q70892363"|"Q106680596"
"Q70893030"|"Q106681185"
"Q70892889"|"Q106680989"
"Q106675321"|"Q106680753"
"Q106674307"|"Q106680595"
"Q70885722"|"Q106680789"
"Q70899541"|"Q106680588"
"Q106674282"|"Q106681117"
"Q70892404"|"Q106680694"
"Q70893008"|"Q106681177"
"Q106675588"|"Q106680971"
"Q106675309"|"Q106680810"
"Q106674197"|"Q106680822"
"Q106675299"|"Q106680804"
"Q70892745"|"Q106680908"
"Q106674185"|"Q106680806"
"Q106675611"|"Q106680773"
"Q106675572"|"Q106681160"
"Q106675466"|"Q106680949"
"Q70892708"|"Q106680862"
"Q85411211"|"Q106681199"
"Q106675334"|"Q106680751"
"Q70892738"|"Q106680892"
"Q106675708"|"Q106681198"
"Q106675514"|"Q106680794"
"Q70892412"|"Q106680700"
"Q70892854"|"Q106680978"
"Q106675412"|"Q106681367 "
"Q106675422"|"Q106680960"
"Q106675488"|"Q106681115"
"Q106675307"|"Q106681050"
"Q70893023"|"Q106681182"
