item,label,site,geo,inscription
Q70892474,CIIC 76 (Ogham Stone Concept by RAS Macalister),Q85394006,POINT(-8.893056 51.645),ANM TENAS MACi V[...
Q70892476,CIIC 77 (Ogham Stone Concept by RAS Macalister),Q85393931,POINT(-9.0125 51.577778),n/a
Q70892478,CIIC 78 (Ogham Stone Concept by RAS Macalister),Q85394074,POINT(-8.539722 51.957778),n/a
Q70892481,CIIC 79 (Ogham Stone Concept by RAS Macalister),Q85393934,POINT(-8.075556 51.977222),ELUNA MU[C...
Q70892484,CIIC 80 (Ogham Stone Concept by RAS Macalister),Q85393934,POINT(-8.075556 51.977222),[M]
Q70892485,CIIC 82 (Ogham Stone Concept by RAS Macalister),Q85394270,POINT(-8.071111 52.026944),MAILAGURO MAQ[I...]VILEB[...
Q70892488,CIIC 84 (Ogham Stone Concept by RAS Macalister),Q85394270,POINT(-8.071111 52.026944),ERACOBI MAQI ERAQETAI
Q70892490,CIIC 91 (Ogham Stone Concept by RAS Macalister),Q85394270,POINT(-8.071111 52.026944),BLATEGSI
Q70892493,CIIC 97 (Ogham Stone Concept by RAS Macalister),Q85394010,POINT(-8.608333 51.838611),...]LL MAQI VORRTIGURN DOIBI
Q70892498,CIIC 98 (Ogham Stone Concept by RAS Macalister),Q85394010,POINT(-8.608333 51.838611),CORBAGNI K[OI] M[A]Q[I] MOCCOI COROTANI
Q70892501,CIIC 99 (Ogham Stone Concept by RAS Macalister),Q85394010,POINT(-8.608333 51.838611),SACATTINI
Q70892506,CIIC 101 (Ogham Stone Concept by RAS Macalister),Q85394010,POINT(-8.608333 51.838611),MAQI-ESEA MAQI DOMANEQI
Q70892504,CIIC 100 (Ogham Stone Concept by RAS Macalister),Q85394010,POINT(-8.608333 51.838611),AB ULCCAGNI
Q70892509,CIIC 102 (Ogham Stone Concept by RAS Macalister),Q85394010,POINT(-8.608333 51.838611),DILOGONN
Q70892510,CIIC 104 (Ogham Stone Concept by RAS Macalister),Q85394077,POINT(-8.823889 51.955833),ANM CORRE MAQVI UDD[GLO]METT
Q70892513,CIIC 106 (Ogham Stone Concept by RAS Macalister),Q85393938,POINT(-8.887778 51.940833),[COLAB]OT MAQI MAQI-RITE [MAQI MU]COI CORIBIRI
Q70892516,CIIC 108 (Ogham Stone Concept by RAS Macalister),Q85394079,POINT(-8.81 51.9875),LUGUDUC MAQI MAQI-OC [...
Q70892518,CIIC 109 (Ogham Stone Concept by RAS Macalister),Q85394014,POINT(-8.789444 51.985556),UDDMENSA CELI NETTASLOGI
Q70892523,CIIC 110 (Ogham Stone Concept by RAS Macalister),Q85393940,POINT(-8.838889 51.9575),B..Q.....HAGA......DL
Q70892526,CIIC 111 (Ogham Stone Concept by RAS Macalister),Q85393940,POINT(-8.838889 51.9575),LUDUDECA MAQU SI[TT?]ALI MUCOI M...
Q70892527,CIIC 118 (Ogham Stone Concept by RAS Macalister),Q85394081,POINT(-8.779444 51.974444),VEQREQ MUCOI GLUNLEGGET TENREN MONOI GDUQDEGGEV
Q70892531,CIIC 119 (Ogham Stone Concept by RAS Macalister),Q85394081,POINT(-8.779444 51.974444),DALAGNI MAQI DALI
Q70892533,CIIC 120 (Ogham Stone Concept by RAS Macalister),Q85394081,POINT(-8.779444 51.974444),BROINIENAS KOI NETA TTRENALUGOS.
Q70892534,CIIC 121 (Ogham Stone Concept by RAS Macalister),Q85394081,POINT(-8.779444 51.974444),VERGOSO MACI LLOMINACCA.
Q70892536,CIIC 122 (Ogham Stone Concept by RAS Macalister),Q85394114,POINT(-8.829444 51.970833),MADORA MAQI DEGO
Q70892539,CIIC 123 (Ogham Stone Concept by RAS Macalister),Q85394114,POINT(-8.829444 51.970833),MAQI-BRI.....CELI ALACA...
Q70892540,CIIC 124 (Ogham Stone Concept by RAS Macalister),Q85394017,POINT(-8.784167 51.886667),ANAVLAMATTIAS MUCCOI [..]OELURI AVI AKERAS
Q70892545,CIIC 125 (Ogham Stone Concept by RAS Macalister),Q85394017,POINT(-8.784167 51.886667),MAQI-ERCIAS MAQI VALAMNI
Q70892549,CIIC 126 (Ogham Stone Concept by RAS Macalister),Q85394017,POINT(-8.784167 51.886667),VEDACUNA [MAQI] TOBIRA MUCOI SOGINI
Q70892550,CIIC 129 (Ogham Stone Concept by RAS Macalister),Q85393945,POINT(-9.026388888 51.841944444),VEQOANAI MAQI EQOD[..
Q70892553,CIIC 130 (Ogham Stone Concept by RAS Macalister),Q85393948,POINT(-8.928056 52.066667),SECIDARI
Q70892555,CIIC 131 (Ogham Stone Concept by RAS Macalister),Q85394021,POINT(-9.115 51.849444),LITUBIRI MAQI QECIA
Q70892556,CIIC 132 (Ogham Stone Concept by RAS Macalister),Q85394021,POINT(-9.115 51.849444),LACAVAGNI
Q70892558,CIIC 133 (Ogham Stone Concept by RAS Macalister),Q85394021,POINT(-9.115 51.849444),VAITEVIA
Q70892561,CIIC 134 (Ogham Stone Concept by RAS Macalister),Q85394084,POINT(-9.228056 51.828333),ASSICONA
Q70892563,CIIC 135 (Ogham Stone Concept by RAS Macalister),Q85394128,POINT(-9.083889 51.926111),MINNACCANNI MAQI AILLUATTAN
Q70892567,CIIC 136 (Ogham Stone Concept by RAS Macalister),Q85394024,POINT(-9.772778 52.328889),CT[A]N ... QLOG
Q70892569,CIIC 137 (Ogham Stone Concept by RAS Macalister),Q85394087,POINT(-9.724167 52.362778),ANM VEDLLOIGGOI MACI SEDDOINI
Q70892572,CIIC 138 (Ogham Stone Concept by RAS Macalister),Q85393952,POINT(-10.176111 52.129444),LADDIGNI MAQQI MUCCOI AN...
Q70892574,CIIC 139 (Ogham Stone Concept by RAS Macalister),Q85393952,POINT(-10.176111 52.129444),LAIDANN MAQI MACORBO
Q70892577,CIIC 140 (Ogham Stone Concept by RAS Macalister),Q85393952,POINT(-10.176111 52.129444),LUGUVVECCA MAQI[...
Q70892578,CIIC 141 (Ogham Stone Concept by RAS Macalister),Q85393955,POINT(-10.138056 52.133056),MAQI MQ[I-...O]GGODIKA.
Q70892582,CIIC 142 (Ogham Stone Concept by RAS Macalister),Q85393955,POINT(-10.138056 52.133056),...] CELI AVI VU[..
Q70892584,CIIC 143 (Ogham Stone Concept by RAS Macalister),Q85394130,POINT(-10.063056 52.159167),TAQMAQO
Q70892586,CIIC 144 (Ogham Stone Concept by RAS Macalister),Q85394026,POINT(-10.049167 52.143056),DITAV
Q70892592,CIIC 145 (Ogham Stone Concept by RAS Macalister),Q85394028,POINT(-10.236944 52.2675),QRIMITIR RON[A]NN MAQ COMOGANN
Q70892594,CIIC 146 (Ogham Stone Concept by RAS Macalister),Q85393959,POINT(-10.382222 52.166667),LUGUQRIT MA[QI] QRITT[I]
Q70892598,CIIC 147 (Ogham Stone Concept by RAS Macalister),Q85393961,POINT(-10.2075 52.140556),MOINENA MAQI OLACON
Q70892599,CIIC 148 (Ogham Stone Concept by RAS Macalister),Q85394310,POINT(-10.386111 52.176111),DUBONIRRAS MAQQI TENAC[I]
Q70892602,CIIC 149 (Ogham Stone Concept by RAS Macalister),Q85394310,POINT(-10.386111 52.176111),MQQI-QETTI MAQQI CUNITTI
Q70892604,CIIC 150 (Ogham Stone Concept by RAS Macalister),Q85394310,POINT(-10.386111 52.176111),GRAVICAS MAQI MUCOI DOVVINIAS
Q70892606,CIIC 151 (Ogham Stone Concept by RAS Macalister),Q85394310,POINT(-10.386111 52.176111),BROINIOAS
Q70892609,CIIC 152 (Ogham Stone Concept by RAS Macalister),Q85394310,POINT(-10.386111 52.176111),LUBBAIS MAQQI DUN....S
Q70892611,CIIC 153 (Ogham Stone Concept by RAS Macalister),Q85394310,POINT(-10.386111 52.176111),CCUCAMINI MAQQI CATTINI
Q70892616,CIIC 155 (Ogham Stone Concept by RAS Macalister),Q85393964,POINT(-10.031111 52.1725),AKEVRITTI
Q70892620,CIIC 156 (Ogham Stone Concept by RAS Macalister),Q85393964,POINT(-10.031111 52.1725),MAQQI-IARI KOI MAQQI MUCCOI DOVVINIAS
Q70892623,CIIC 157 (Ogham Stone Concept by RAS Macalister),Q85393964,POINT(-10.031111 52.1725),DOVETI MAQQi CATTINI
Q70892626,CIIC 158 (Ogham Stone Concept by RAS Macalister),Q85393964,POINT(-10.031111 52.1725),SUVALLOS MAQQI DUCOVAROS
Q70892629,CIIC 159 (Ogham Stone Concept by RAS Macalister),Q85393964,POINT(-10.031111 52.1725),MAQI - DECCEDA MAQI GLASICONAS
Q70892630,CIIC 160 (Ogham Stone Concept by RAS Macalister),Q85393964,POINT(-10.031111 52.1725),TRIA MAQA MAILAGNI CURCITTI
Q70892632,CIIC 161 (Ogham Stone Concept by RAS Macalister),Q85393964,POINT(-10.031111 52.1725),INISSIONAS
Q70892635,CIIC 162 (Ogham Stone Concept by RAS Macalister),Q85393964,POINT(-10.031111 52.1725),CUNAMAQQI AVI CORBBI
Q106674255,22. Colbinstown IV (Ogham Stone Concept by the Ogham in 3D Project),Q85391762,POINT(-6.756389 53.031111),EGNI KOI MAQI MUC/OI AI
Q70892714,CIIC 190 (Ogham Stone Concept by RAS Macalister),Q85395562,POINT(-10.124722 52.135833),GOSSUCTTIAS
Q70892719,CIIC 191 (Ogham Stone Concept by RAS Macalister),Q85395562,POINT(-10.124722 52.135833),GAMICUNAS
Q70892722,CIIC 192 (Ogham Stone Concept by RAS Macalister),Q85395622,POINT(-10.023333 52.251944),QENILOCGNI MAQI D...
Q70892725,CIIC 193 (Ogham Stone Concept by RAS Macalister),Q85395564,POINT(-10.359444 52.144722),ANM COLMAN AILITHIR
Q70892726,CIIC 194 (Ogham Stone Concept by RAS Macalister),Q85395627,POINT(-10.024444 52.167778),SIDANI MAQI DALO
Q70892731,CIIC 195 (Ogham Stone Concept by RAS Macalister),Q85395567,POINT(-9.990556 52.1725),CURCI MAQI MUCOI V[...
Q70892732,CIIC 196 (Ogham Stone Concept by RAS Macalister),Q85395567,POINT(-9.990556 52.1725),ERCAVICCAS MAQI CO[...
Q70892734,CIIC 197 (Ogham Stone Concept by RAS Macalister),Q69379704,POINT(-9.642778 52.061111),DEGOS MAQI MOCOI TOICAKI
Q70892738,CIIC 198 (Ogham Stone Concept by RAS Macalister),Q69379704,POINT(-9.642778 52.061111),MAQI-RITEAS MAQI MAQI-DDUMILEAS MUCOI TOICACI
Q70892739,CIIC 199 (Ogham Stone Concept by RAS Macalister),Q69379704,POINT(-9.642778 52.061111),CUNACENA
Q70892745,CIIC 200 (Ogham Stone Concept by RAS Macalister),Q69379704,POINT(-9.642778 52.061111),MAQI-TTAL MAQI VORGOS MAQI MUCOI TOICAC
Q70892748,CIIC 201 (Ogham Stone Concept by RAS Macalister),Q69379704,POINT(-9.642778 52.061111),MC[ ]GE [ ]M [..] Q[ ] ..[ ]D [ ]E
Q70892750,CIIC 202 (Ogham Stone Concept by RAS Macalister),Q69379704,POINT(-9.642778 52.061111),NIOTTVRECC MAQI [....]GNI
Q70892754,CIIC 204 (Ogham Stone Concept by RAS Macalister),Q85395570,POINT(-9.621667 52.208611),ANM MAGANN MAQI NUADAT
Q70892756,CIIC 205 (Ogham Stone Concept by RAS Macalister),Q85395535,POINT(-9.665 51.974444),S[M]....BNAG MA[Q?]QI ERCIA
Q70892757,CIIC 206 (Ogham Stone Concept by RAS Macalister),Q85395537,POINT(-9.747222 52.071944),ANM VIRR[...]ANNI TIGIRN CEDATTOQA MAQI VEDELMET[T]
Q70892761,CIIC 207 (Ogham Stone Concept by RAS Macalister),Q85395537,POINT(-9.747222 52.071944),....]ECC MAQI L[UGUQ]RRIT
Q70892763,CIIC 208 (Ogham Stone Concept by RAS Macalister),Q85395537,POINT(-9.747222 52.071944),UMALL
Q70892767,CIIC 209 (Ogham Stone Concept by RAS Macalister),Q85395537,POINT(-9.747222 52.071944),...]GGO MAQI AGILL[....
Q70892772,CIIC 210 (Ogham Stone Concept by RAS Macalister),Q85395537,POINT(-9.747222 52.071944),DUBE[B?]
Q70892774,CIIC 211 (Ogham Stone Concept by RAS Macalister),Q85395537,POINT(-9.747222 52.071944),RITTUVVECC MAQI VEDDONOS
Q70892778,CIIC 212 (Ogham Stone Concept by RAS Macalister),Q85395537,POINT(-9.747222 52.071944),n/a
Q70892780,CIIC 213 (Ogham Stone Concept by RAS Macalister),Q85395537,POINT(-9.747222 52.071944),URG
Q106674253,217. Whitefield III (Ogham Stone Concept by the Ogham in 3D Project),Q85395539,POINT(-9.703056 52.080556),NOCATI MAQI MAQI-RET/ MAQI MUCOI UDDAMI
Q106674256,220. Derrynane (Ogham Stone Concept by the Ogham in 3D Project),Q85395573,POINT(-10.122222 51.773056),ANM LLATIGNI MAQ MINERC/ MUCOI QCI?
Q106674257,223. Parknasilla (Ogham Stone Concept by the Ogham in 3D Project),Q85395605,POINT(-9.875 51.858611),ANM VINNAGITLET
Q106674258,23. Colbinstown V (Ogham Stone Concept by the Ogham in 3D Project),Q85391762,POINT(-6.756389 53.031111),AVSSMAQVS
Q106674259,230. Cloghanecarhan (Ogham Stone Concept by the Ogham in 3D Project),Q85395549,POINT(-10.176944 51.894167),EQQEGGNI MAQI MAQI-CARATTINN
Q106674260,241. Kilbonane (Ogham Stone Concept by the Ogham in 3D Project),Q85396894,POINT(-9.673611 52.086111),BAIDAGNI MAQI ADDILONA NAGUNI MUCO BAIDANI NIR[???]MNIDAGNIESSICONIDDALA/ AMIT BAIDAGNI
Q106674261,242. Parkavonear (Ogham Stone Concept by the Ogham in 3D Project),Q85396972,POINT(-9.558333 52.077778),BRRUA/ENANN
Q106674263,246a. Ardcanaght I (Ogham Stone Concept by the Ogham in 3D Project),Q85396815,POINT(-9.733611 52.165556),V MAQI
Q106674264,246b. Ardcanaght II (Ogham Stone Concept by the Ogham in 3D Project),Q85396815,POINT(-9.733611 52.165556),LMCBLTCL/LT
Q106674265,25. Colbinstown VII (Ogham Stone Concept by the Ogham in 3D Project),Q85391762,POINT(-6.756389 53.031111),LA
Q106674266,252. Gurrane (Ogham Stone Concept by the Ogham in 3D Project),Q85396933,POINT(-9.581944 52.226667),DUMELI MAQI GLASICONAS NIOTTA COBRANORA
Q106674267,253. Killorglin (Ogham Stone Concept by the Ogham in 3D Project),Q85396826,POINT(-9.540833 52.233611),GALEOTOS
Q106674268,255. Tinnahally I (Ogham Stone Concept by the Ogham in 3D Project),Q85396900,POINT(-9.7575 52.124722),CILA MAQQI BAGN/I ANM VURUDDRANN MAQ/I DO/LIGENN
Q106674269,256. Tinnahally II (Ogham Stone Concept by the Ogham in 3D Project),Q85396900,POINT(-9.7575 52.124722),ANM TEGANN MAC DEGL/ANN
Q106674270,26. Donaghmore (Ogham Stone Concept by the Ogham in 3D Project),Q85391654,POINT(-6.551111 53.375278),NETTAVROICC/ MAQI MUCCOI TRENALUGGO
Q106674271,263. Ardmore I (Ogham Stone Concept by the Ogham in 3D Project),Q85396905,POINT(-7.729167 51.944167),LUGUDECCAS MAQI/MU/COI NETA-SEGAMONAS/ DOLATI BIGAISGOB...
Q106674272,264. Ardmore II (Ogham Stone Concept by the Ogham in 3D Project),Q85396905,POINT(-7.729167 51.944167),...NACI MAQI ...
Q106674273,265. Ardmore III (Ogham Stone Concept by the Ogham in 3D Project),Q85396905,POINT(-7.729167 51.944167),AMADU
Q106674274,266. Dromore I (Ogham Stone Concept by the Ogham in 3D Project),Q85396907,POINT(-7.848889 52.064444),COLLABOT MUCOI LUGA/ MAQI LOBACCONA
Q106674277,267. Dromore II (Ogham Stone Concept by the Ogham in 3D Project),Q85396907,POINT(-7.848889 52.064444),MEDUSI MACI LU/ MUCOI LUGA
Q106674278,268. Dromore III (Ogham Stone Concept by the Ogham in 3D Project),Q85396907,POINT(-7.848889 52.064444),CATTUVIR
Q106674279,272. Drumlohan I (Ogham Stone Concept by the Ogham in 3D Project),Q85396849,POINT(-7.468056 52.163056),MANU MAGUNO GATI MOCOI MACORBO
Q106674280,273. Drumlohan II (Ogham Stone Concept by the Ogham in 3D Project),Q85396849,POINT(-7.468056 52.163056),CALUNOVICA MAQI MUCOI LITENI
Q106674281,274. Drumlohan III (Ogham Stone Concept by the Ogham in 3D Project),Q85396849,POINT(-7.468056 52.163056),MAQI-INI MAQI QETTEAS
Q106674282,275. Drumlohan IV (Ogham Stone Concept by the Ogham in 3D Project),Q85396849,POINT(-7.468056 52.163056),CUNALEGEA MAQI C[....]SALAR CELI AVI QVECI
Q106674283,276. Drumlohan V (Ogham Stone Concept by the Ogham in 3D Project),Q85396849,POINT(-7.468056 52.163056),BIGU MAQI LAG
Q106674284,277. Drumlohan VI (Ogham Stone Concept by the Ogham in 3D Project),Q85396849,POINT(-7.468056 52.163056),BIR MAQI MUCOI ROTTAIS
Q106674285,278. Drumlohan VII (Ogham Stone Concept by the Ogham in 3D Project),Q85396849,POINT(-7.468056 52.163056),MAQI NETAS
Q106674286,279. Drumlohan VIII (Ogham Stone Concept by the Ogham in 3D Project),Q85396849,POINT(-7.468056 52.163056),DENAVECA MUCOI MEDALO
Q106674287,28. Churchclara I (Ogham Stone Concept by the Ogham in 3D Project),Q85391656,POINT(-7.150556 52.651389),TASEGAGNI/ MAQ/ I MUCOI MACORBO
Q106674288,280. Drumlohan IX (Ogham Stone Concept by the Ogham in 3D Project),Q85396849,POINT(-7.468056 52.163056),BROINIONAS
Q106674290,281. Drumlohan X (Ogham Stone Concept by the Ogham in 3D Project),Q85396849,POINT(-7.468056 52.163056),DEAGOS MAQI MUCOI NAI
Q106674292,285. Kilbeg (Ogham Stone Concept by the Ogham in 3D Project),Q85396852,POINT(-7.544722 52.110278),BIVODON MUCOI ATAR
Q106674293,292. Knockboy I (Ogham Stone Concept by the Ogham in 3D Project),Q85396914,POINT(-7.6 52.111389),ERATI MUCOI NETA-S/EGAMONAS
Q106674294,293. Knockboy II (Ogham Stone Concept by the Ogham in 3D Project),Q85396914,POINT(-7.6 52.111389),RGBCARCEN
Q106674296,294. Knockboy III (Ogham Stone Concept by the Ogham in 3D Project),Q85396914,POINT(-7.6 52.111389),CORB
Q106674297,295. Knockboy IV (Ogham Stone Concept by the Ogham in 3D Project),Q85396914,POINT(-7.6 52.111389),QECCIAS MUCOI BROENIONAS
Q106674298,296. Knockboy V (Ogham Stone Concept by the Ogham in 3D Project),Q85396914,POINT(-7.6 52.111389),CIR MAQI MUC
Q106674299,297. Knockboy VI (Ogham Stone Concept by the Ogham in 3D Project),Q85396914,POINT(-7.6 52.111389),VORTIGURN
Q106674302,298. Knockboy VII (Ogham Stone Concept by the Ogham in 3D Project),Q85396914,POINT(-7.6 52.111389),VEDABAR MAQILSM/ MOCOI ODR/REA
Q106674304,299. Knockboy VIII (Ogham Stone Concept by the Ogham in 3D Project),Q85396914,POINT(-7.6 52.111389),MAQI MONGEDIAS/ MAQI/ MUIBITI
Q106674305,300. Island (Ogham Stone Concept by the Ogham in 3D Project),Q85396859,POINT(-7.59 52.160833),CUNANETAS MAQ/I MMUC/OI NETA-SEGAMONAS
Q106674306,31. Fiddaun Upper (Ogham Stone Concept by the Ogham in 3D Project),Q85391658,POINT(-7.036389 52.518889),DRUGNO MAQI/ MUCOI NAMI
Q106674307,32. Gowran (Ogham Stone Concept by the Ogham in 3D Project),Q85391704,POINT(-7.066111 52.6325),MAQI ERACIAS MAQI/ DIMAQA MUCOI
Q106674309,34. Legan (Ogham Stone Concept by the Ogham in 3D Project),Q85391706,POINT(-7.158611 52.538611),LOBBI KOI MAQQI MUC/COI R/INI
Q106674310,35. Tullaherin I (Ogham Stone Concept by the Ogham in 3D Project),Q85391735,POINT(-7.121389 52.5775),VIR
Q106674311,36. Lamoge I (Ogham Stone Concept by the Ogham in 3D Project),Q85391666,POINT(-7.360833 52.443889),SEVERRIT/ MAQI/ ROTTAIS
Q106674312,37. Lamoge II (Ogham Stone Concept by the Ogham in 3D Project),Q85391666,POINT(-7.360833 52.443889),DOVATUC/QI AV/I/ TULOTANAGIA
Q106674313,38. Ballyboodan (Ogham Stone Concept by the Ogham in 3D Project),Q69378747,POINT(-7.231111 52.471944),CORBI KOI MAQI LABRID
Q106674314,4. Kilmannin (Ogham Stone Concept by the Ogham in 3D Project),Q72006009,POINT(-8.765556 53.773611),LUGADDON MAQ/I LUGU/DEC DDISI/ MOCQUS/EL
Q106674315,40. Painestown (Ogham Stone Concept by the Ogham in 3D Project),Q85391671,POINT(-6.559167 53.673333),MAQI-CAIRATINI AVI INEQAGLAS
Q106674316,46. Houseland (Ogham Stone Concept by the Ogham in 3D Project),Q85391680,POINT(-6.887778 52.161389),SEDANI MAQI CATTABBOTT AVVI DERCMASOC
Q106674317,47. Castletimon (Ogham Stone Concept by the Ogham in 3D Project),Q85391708,POINT(-6.063611 52.909167),NETACARI NETACAGI
Q106674319,48. Donard (Ogham Stone Concept by the Ogham in 3D Project),Q85391710,POINT(-6.617778 53.016944),IAQINI KOI/ MAQI MUCOI
Q106674320,49. Baltinglass (Ogham Stone Concept by the Ogham in 3D Project),Q85391683,POINT(-6.624444 52.966389),CCI MAQ INI
Q106674323,50. Boleycarrigeen (Ogham Stone Concept by the Ogham in 3D Project),Q85391685,POINT(-6.608898 52.947012),VOTI
Q106674324,51. Knickeen (Ogham Stone Concept by the Ogham in 3D Project),Q85391711,POINT(-6.535 52.998056),MAQI NILI
Q106674325,57. Greenhill I (Ogham Stone Concept by the Ogham in 3D Project),Q72006007,POINT(-8.601944 52.081111),TRENU MAQI MUCOI QRITTI
Q106674327,58. Greenhill II (Ogham Stone Concept by the Ogham in 3D Project),Q72006007,POINT(-8.601944 52.081111),CATTUBUTTAS MAQI
Q106674328,66. Faunkill and the Woods (Ogham Stone Concept by the Ogham in 3D Project),Q85393998,POINT(-9.935278 51.712222),MAQI-DECCEDDAS AVI TURANIAS
Q106674329,69. Ahalisky I (Ogham Stone Concept by the Ogham in 3D Project),Q85394002,POINT(-8.846944 51.678889),GIRAGNI
Q106674330,70. Ahalisky II (Ogham Stone Concept by the Ogham in 3D Project),Q85394002,POINT(-8.846944 51.678889),CUNAGUSOS MAQI MUCOI VIRA/GNI
Q106674331,71. Ahalisky III (Ogham Stone Concept by the Ogham in 3D Project),Q85394002,POINT(-8.846944 51.678889),COIMAGNI MAQI MOCOI G
Q106674332,79. Rathcanning I (Ogham Stone Concept by the Ogham in 3D Project),Q85393934,POINT(-8.075556 51.977222),TULENA MUC RAN
Q106674334,80. Rathcanning II (Ogham Stone Concept by the Ogham in 3D Project),Q85393934,POINT(-8.075556 51.977222),?M?
Q106674335,97. Ballyhank I (Ogham Stone Concept by the Ogham in 3D Project),Q85394010,POINT(-8.608333 51.838611),LL MAQI VORR/TIGUR/N
Q106674336,98. Ballyhank II (Ogham Stone Concept by the Ogham in 3D Project),Q85394010,POINT(-8.608333 51.838611),CORBAGNI/ KOI MAQI MOC/COI COROTANI
Q106674337,99. Ballyhank III (Ogham Stone Concept by the Ogham in 3D Project),Q85394010,POINT(-8.608333 51.838611),SACATTI/NI
Q106674340,Ardfert II (Ogham Stone Concept by the Ogham in 3D Project),Q85394024,POINT(-9.772778 52.328889),OC/GIC
Q106674341,Ballybarrack.xml(Ogham Stone Concept by the Ogham in 3D Project),Q106626868,POINT(-6.43833 53.98278),MAQI-CORABIR MAQI TANB NETA-SALAGIA MAQI MUCOI
Q106674342,Bunkilla.xml(Ogham Stone Concept by the Ogham in 3D Project),Q106626869,POINT(-8.69389 51.97722),ANM MAQQI-LASIRE MAQQI BIRRAC...?
Q106674343,Church Island (Ogham Stone Concept by the Ogham in 3D Project),Q106626870,POINT(-10.2832 51.9376),BECCDINN MACI/ R/ITTECC
Q106674344,Churchclara II (Ogham Stone Concept by the Ogham in 3D Project),Q85391656,POINT(-7.150556 52.651389),GELAGNI AVI
Q106674345,Cloghabrody.xml(Ogham Stone Concept by the Ogham in 3D Project),Q106626871,POINT(-7.13778 52.53472),VEDDELLEMETTO MU/CI/ LOGIDDEAS/ AVVI MUNICCONA
Q106674346,Coumlanders.xml(Ogham Stone Concept by the Ogham in 3D Project),Q106626872,POINT(-10.175484 52.125339),RETAGIN MAQI DOVU
Q106674347,Drummin II (Ogham Stone Concept by the Ogham in 3D Project),Q85390417,POINT(-8.362222 53.84),RAVASA KOI MAQQI D/TL SENN
Q106674348,Kilgrovan VI (Ogham Stone Concept by the Ogham in 3D Project),Q85396854,POINT(-7.549722 52.090556),...U MAQI CUMUGODU/U MUCO
Q106674349,Kilgrovan VII (Ogham Stone Concept by the Ogham in 3D Project),Q85396854,POINT(-7.549722 52.090556),UMU T
Q106674350,Knockmahon I (Ogham Stone Concept by the Ogham in 3D Project),Q106626874,POINT(-7.35056 52.14028),SENAQ MAQI/ MUCOI ENA
Q106674351,Knockmahon II (Ogham Stone Concept by the Ogham in 3D Project),Q106626874,POINT(-7.35056 52.14028),VEDILIMETO/ MAQI/ TOQITAQ
Q106674352,Ratass.xml(Ogham Stone Concept by the Ogham in 3D Project),Q106626875,POINT(-9.67583 52.2675),ANM SILLANN MAQ VATTILLOGG
Q106674353,Rathkenny IV (Ogham Stone Concept by the Ogham in 3D Project),Q106626866,POINT(-9.72028 52.33167),V A S
Q106674355,Scattery Island (Ogham Stone Concept by the Ogham in 3D Project),Q106626876,POINT(-9.51861 52.61278),NS
Q106674356,Shankill.xml(Ogham Stone Concept by the Ogham in 3D Project),Q106626901,POINT(-7.0275 52.69528),MAQICUNALIGEAS/ MAQI COILLI/ MUCOI COSCI/EAS
Q106674357,Tullaherin II (Ogham Stone Concept by the Ogham in 3D Project),Q85391735,POINT(-7.121389 52.5775),DT MUCOI RGN
Q106675295,AGHAL/1 (Ogham Stone Concept by CISP),Q85390391,POINT(-9.330833 54.260278),--][Q][--][AAMQMARO][--
Q106675296,AGHAS/1 (Ogham Stone Concept by CISP),Q85392826,POINT(-7.047778 54.699444),DOTETTOMAQ[IMAGLANI]
Q106675297,AGHIB/1 (Ogham Stone Concept by CISP),Q85393952,POINT(-10.176111 52.129444),LADDIGNIMAQQIMUCCOIAN[--
Q106675298,AGHIB/2 (Ogham Stone Concept by CISP),Q85393952,POINT(-10.176111 52.129444),LAIDANNMAQIMACORBO
Q106675299,AGHIB/3 (Ogham Stone Concept by CISP),Q85393952,POINT(-10.176111 52.129444),LUGUVVECCAMAQI[--
Q106675300,AGLIS/1 (Ogham Stone Concept by CISP),Q85393955,POINT(-10.138056 52.133056),--]MAQIMAQ[I][--][O]GGODIKA
Q106675302,AGLIS/2 (Ogham Stone Concept by CISP),Q85393955,POINT(-10.138056 52.133056),--]CELIAVIVU[D!][--
Q106675303,AHLIS/1 (Ogham Stone Concept by CISP),Q85394002,POINT(-8.846944 51.678889),GIRAGNI
Q106675304,AHLIS/2 (Ogham Stone Concept by CISP),Q85394002,POINT(-8.846944 51.678889),CUNAGUSOSMAQIMUCOIVIRA 
Q106675305,AHLIS/3 (Ogham Stone Concept by CISP),Q85394002,POINT(-8.846944 51.678889),COIMAGNIMAQIMOCOIGA[--
Q106675306,AMORE/1 (Ogham Stone Concept by CISP),Q85396905,POINT(-7.729167 51.944167),LUGUDECCASMAQI 
Q106675307,AMORE/2 (Ogham Stone Concept by CISP),Q85396905,POINT(-7.729167 51.944167),--]NACIMAQI[--
Q106675308,AMORE/3 (Ogham Stone Concept by CISP),Q85396905,POINT(-7.729167 51.944167),AMADU
Q106675310,ANSCL/1 (Ogham Stone Concept by CISP),Q106628059,POINT(-10.061076 52.152143),RETAGINMAQIDOV[U!][--
Q106675311,ARDCT/1 (Ogham Stone Concept by CISP),Q85396815,POINT(-9.733611 52.165556),--]VMAQI[--
Q70892784,CIIC 214 (Ogham Stone Concept by RAS Macalister),Q85395538,POINT(-9.718889 52.068056),ANNVENI TEGG[....
Q70892785,CIIC 215 (Ogham Stone Concept by RAS Macalister),Q85395539,POINT(-9.703056 52.080556),ALATTO CELI BATTIGNI
