wd|geo|site|country|county|insc
Q70892907|52.1247222,-9.7575|Q85396900|Q27|Q184469|ANM VURUDDRANN MAQ[I] DOLIGENN CI[...]LA MAQ[Q?]I [..]BAGNI
Q70892910|52.1247222,-9.7575|Q85396900|Q27|Q184469|ANM TEGANN MAAC DEGLANN
Q85410047|52.2680556,-9.710277777777778|Q85396830|Q27|Q184469|BASIŊB ---
Q70892912|52.4575,-8.823888888888888|Q85396834|Q27|Q184469|D[A]Q[U]MA MAQI RAGAVVECC
Q70892914|52.3819444,-8.377222222222223|Q85396837|Q27|Q178283|MAILAGNI MAQI GAMATI
Q70892917|52.3286111,-8.562777777777779|Q85396939|Q27|Q178283|IVAGENI MAQI LAISCEMITA
Q70892919|52.2758333,-8.105277777777777|Q85396941|Q27|Q178283|n/a
Q70892920|52.2216667,-7.758055555555556|Q85396903|Q27|Q184618|NETACUNAS MAQI LOBAC[CONA]
Q70885701|52.1994444,-7.998888888888889|Q85396840|Q27|Q184618|ERCAGNI MAQI ERCIAS
Q70892923|51.9441667, -7.729166666666667|Q85396905|Q27|Q184594|LUGUDECCAS MAQI [....MU]COI NETA-SEGAMONAS DOLATI BIGA-ISGOB[...
Q70892924|51.9441667, -7.729166666666667|Q85396905|Q27|Q184594|....] NACI MAQI [...
Q70892930|51.9441667, -7.729166666666667|Q85396905|Q27|Q184594|AMADU
Q70892932|52.0644444,-7.848888888888888|Q85396907|Q27|Q184594|COLLABOT MUCOI LUGA MAQI LOBACCONA
Q70892933|52.0644444,-7.848888888888888|Q85396907|Q27|Q184594|MEDUSI MACI LU MUCOI LUGA
Q70892935|52.0644444,-7.848888888888888|Q85396907|Q27|Q184594|CATTUVIR
Q70892937|51.9883333,-7.755833333333333|Q85396845|Q27|Q184594|MAQI MUCOI IVODACCA.
Q70892938|52.1333333,-7.439166666666667|Q85396847|Q27|Q184594|QRIT[....] MAQ[I LO]BACONA AVI NEAGRACOLINEA
Q70892940|52.1333333,-7.439166666666667|Q85396847|Q27|Q184594|NETAVROQI MAQI QIC[...
Q70892943|52.1630556,-7.468055555555556|Q85396849|Q27|Q184594|MANU MAGUNO GATI MOCOI MACORBO
Q70892944|52.1630556,-7.468055555555556|Q85396849|Q27|Q184594|CALUNOVIC[A] MAQI MUCOI LIT[ENI].
Q70892950|52.1630556,-7.468055555555556|Q85396849|Q27|Q184594|MAQI-INI[... MAQI QE]TTEAS.
Q70892951|52.1630556,-7.468055555555556|Q85396849|Q27|Q184594|CUNALEGEA MAQI C[....]SALAR CELI AVI QVECI
Q70892952|52.1630556,-7.468055555555556|Q85396849|Q27|Q184594|BIGU MAQI LAG[...
Q70892956|52.1630556,-7.468055555555556|Q85396849|Q27|Q184594|BIR MAQI MUCOI ROTTAIS
Q70892957|52.1630556,-7.468055555555556|Q85396849|Q27|Q184594|....]MAQI NE[TACUN]AS
Q70892959|52.1630556,-7.468055555555556|Q85396849|Q27|Q184594|DENAVEC[A MU]COI MEDALO.
Q70892962|52.1630556,-7.468055555555556|Q85396849|Q27|Q184594|BRO[INION]AS
Q70892964|52.1630556,-7.468055555555556|Q85396849|Q27|Q184594|DEAGOS MAQI MUCO[I......]NAI
Q70892966|52.1552778,-7.495|Q85396851|Q27|Q184594|AVI DAIMAGNI
Q70892968|52.1913889,-7.483333333333333|Q85396944|Q27|Q184594|GOSOCTAS MUCOI MACORBO
Q70892970|52.1913889,-7.483333333333333|Q85396944|Q27|Q184594|MELAGIA
Q70892972|52.1102778,-7.544722222222222|Q85396852|Q27|Q184594|BIVODON MUCOI ATAR
Q70892975|52.0905556,-7.549722222222222|Q85396854|Q27|Q184594|[CU]NAMAQI LUGUDECA MUC[OI] CUNEA
Q70892978|52.0905556,-7.549722222222222|Q85396854|Q27|Q184594|NISIGNI MAQI ER[......]I
Q70892979|52.0905556,-7.549722222222222|Q85396854|Q27|Q184594|DEBRANI MAQI ELTI AVI OGATOS
Q70892982|52.0905556,-7.549722222222222|Q85396854|Q27|Q184594|...]VAGNI MUCOI CUNIA
Q70892984|52.0905556,-7.549722222222222|Q85396854|Q27|Q184594|MAQI E[..
Q70892987|52.1025,-7.804444444444444|Q85396911|Q27|Q184594|n/a
Q70892992|52.1113889,-7.6|Q85396914|Q27|Q184594|....]ER[A]T[I] M[U]C[OI] NETA-S[EGAM]ONAS
Q70892993|52.1113889,-7.6|Q85396914|Q27|Q184594|...]RG[...]BRCEN[...
Q70892996|52.1113889,-7.6|Q85396914|Q27|Q184594|CORB
Q70892999|52.1113889,-7.6|Q85396914|Q27|Q184594|Q[E]CC[IAS] M[U]C[OI B]R[O]E[NIONAS]
Q70893002|52.1113889,-7.6|Q85396914|Q27|Q184594|...]CIR MAQI MUC[...
Q70893003|52.1113889,-7.6|Q85396914|Q27|Q184594|VORTIGURN
Q70893005|52.1113889,-7.6|Q85396914|Q27|Q184594|VEDABAR M[A]Q[.....]LSM MOCOI ORD[....]REA.
Q70893008|52.1113889,-7.6|Q85396914|Q27|Q184594|[MAQI?] MOŊEDIAS MAQI MUIBITI
Q70893010|52.1608333,-7.59|Q85396859|Q27|Q184594|CUNNETAS MAQI GOC[OI] NETA-SEGAMONAS
Q70893016|52.2672222,-7.746944444444445|Q85396862|Q27|Q184594|DOMOKI
Q70893017|52.185,-7.226666666666667|Q85396997|Q27|Q184594|CUMNI MAQI MUCOI VALUVI
Q70893020|52.3111111,-7.385000000000001|Q85396916|Q27|Q184594|CATABAR MOCO VIRICORB
Q70893023|52.3305556,-7.391111111111112|Q85396978|Q27|Q184594|VOCAGNI MAQI CUR(I)T
Q70893024|52.3241667,-7.379166666666666|Q85396866|Q27|Q184594|n/a
Q70893028|52.3263889,-7.511666666666667|Q85396870|Q27|Q184594|LUGUDI MAQI L..D...QA MOCOI DONM(A)
Q70893030|52.3419444,-7.487777777777778|Q85396919|Q27|Q184594|MODDAGN[I] MAQI GATTAGN[I] MUCOI LUGUNI
Q70893035|52.3419444,-7.487777777777778|Q85396919|Q27|Q184594|n/a
Q70893037|54.8030556,-6.183333333333334|Q85392806|Q27|Q184594|TORAESCEUSAS MAQI MUCOI MEUTINI
Q70893044|54.8030556,-6.183333333333334|Q85392806|Q27|Q184594|CAGINADI MAQI VOBARACI
Q70893046|54.3072222,-6.655277777777778|Q85392810|Q26|Q189592|DINEGLO MAQI QETAIS
Q70893047|53.805,-6.954444444444444|Q85392813|Q26|Q4792580|OSBBAR
Q70893050|53.7944444,-7.209444444444444|Q85392823|Q27|Q187402|OVOMAN(I?)
Q70893052|54.6086111,-7.871111111111111|Q85392816|Q27|Q187402|n/a
Q70893056|54.3622222,-7.5175|Q85392831|Q27|Q179424|NETTACU[NAS].
Q70893058|55.1166667,-6.7444444444444445|Q85392833|Q26|Q190678|BROCAGNI MAQI MU
Q70893060|54.6994444,-7.047777777777777|Q85392826|Q26|Q192208|DOTETTO MAQI MAGLANI
