"label"|"desc"|"country"|"site"|"county"|"inscription"|"ino"|"st_astext"
"300. Island (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396859"|"Q184594"|"CUNANETAS MAQ/I MMUC/OI NETA-SEGAMONAS"|"300. Island"|"POINT(-7.59 52.160833)"
"31. Fiddaun Upper (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391658"|"Q180231"|"DRUGNO MAQI/ MUCOI NAMI"|"31. Fiddaun Upper"|"POINT(-7.036389 52.518889)"
"32. Gowran (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391704"|"Q180231"|"MAQI ERACIAS MAQI/ DIMAQA MUCOI"|"32. Gowran"|"POINT(-7.066111 52.6325)"
"34. Legan (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391706"|"Q180231"|"LOBBI KOI MAQQI MUC/COI R/INI"|"34. Legan"|"POINT(-7.158611 52.538611)"
"35. Tullaherin I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391735"|"Q180231"|"VIR"|"35. Tullaherin I"|"POINT(-7.121389 52.5775)"
"36. Lamoge I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391666"|"Q180231"|"SEVERRIT/ MAQI/ ROTTAIS"|"36. Lamoge I"|"POINT(-7.360833 52.443889)"
"37. Lamoge II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391666"|"Q180231"|"DOVATUC/QI AV/I/ TULOTANAGIA"|"37. Lamoge II"|"POINT(-7.360833 52.443889)"
"38. Ballyboodan (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69378747"|"Q180231"|"CORBI KOI MAQI LABRID"|"38. Ballyboodan"|"POINT(-7.231111 52.471944)"
"4. Kilmannin (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q72006009"|"Q178626"|"LUGADDON MAQ/I LUGU/DEC DDISI/ MOCQUS/EL"|"4. Kilmannin"|"POINT(-8.765556 53.773611)"
"40. Painestown (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391671"|"Q183544"|"MAQI-CAIRATINI AVI INEQAGLAS"|"40. Painestown"|"POINT(-6.559167 53.673333)"
