"label"|"desc"|"country"|"site"|"county"|"inscription"|"ino"|"st_astext"
"178. Coumeenole (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395557"|"Q184469"|"ERC MAQI MAQI-ERCIAS MU DOVINIA"|"178. Coumeenole"|"POINT(-10.458333 52.111944)"
"180. Emlagh East (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395559"|"Q184469"|"BRUSCCOS MAQQI CALIACI"|"180. Emlagh East"|"POINT(-10.228056 52.133056)"
"181. Emlagh West (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395521"|"Q184469"|"TALAGNI MAQI"|"181. Emlagh West"|"POINT(-10.270556 52.135278)"
"185. Inishvickillane (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395526"|"Q184469"|"CO?BBA? AVI VLATIAMI MAQ..."|"185. Inishvickillane"|"POINT(-10.607778 52.044444)"
"186. Kilfountain (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395599"|"Q184469"|"EQODDI"|"186. Kilfountain"|"POINT(-10.300556 52.153333)"
"187. Kilmalkedar (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395528"|"Q184469"|"ANM MAILE-INBIR/ MACI BROCANN"|"187. Kilmalkedar"|"POINT(-10.333056 52.188333)"
"188. Kinard East I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395530"|"Q184469"|"MARIANI"|"188. Kinard East I"|"POINT(-10.194444 52.120556)"
"189. Kinard East II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395530"|"Q184469"|"SANGTI LLOTETI AVI SRUSA"|"189. Kinard East II"|"POINT(-10.194444 52.120556)"
"19. Colbinstown I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391762"|"Q173332"|"OVANOS AVI I/VACA/TTOS"|"19. Colbinstown I"|"POINT(-6.756389 53.031111)"
"190. Lugnagappul I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395562"|"Q184469"|"GOSSUCTTIAS"|"190. Lugnagappul I"|"POINT(-10.124722 52.135833)"
"191. Lugnagappul II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395562"|"Q184469"|"GAMICUNAS"|"191. Lugnagappul II"|"POINT(-10.124722 52.135833)"
"192. Martramane (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395622"|"Q184469"|"QENILOCAGNI MAQI D..."|"192. Martramane"|"POINT(-10.023333 52.251944)"
"193. Maumanorig (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395564"|"Q184469"|"ANM COL(OLTH)MAN ALITHIR"|"193. Maumanorig"|"POINT(-10.359444 52.144722)"
"195. Rathmalode I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395567"|"Q184469"|"CURCI MAQI MUCOI VO"|"195. Rathmalode I"|"POINT(-9.990556 52.1725)"
"196. Rathmalode II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395567"|"Q184469"|"ERCAVICCAS MAQI CO"|"196. Rathmalode II"|"POINT(-9.990556 52.1725)"
"197. Coolmagort I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69379704"|"Q184469"|"DEGO{S} MAQI MOCOI TOICAKI"|"197. Coolmagort I"|"POINT(-9.642778 52.061111)"
"198. Coolmagort II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69379704"|"Q184469"|"MAQI-RITEAS MAQI MAQI-DDUMILEAS/ MUCOI TOICACI"|"198. Coolmagort II"|"POINT(-9.642778 52.061111)"
"199. Coolmagort III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69379704"|"Q184469"|"CUNACENA"|"199. Coolmagort III"|"POINT(-9.642778 52.061111)"
"20. Colbinstown II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391762"|"Q173332"|"MAQI-DDECCEDA MAQI MARIN"|"20. Colbinstown II"|"POINT(-6.756389 53.031111)"
"200. Coolmagort IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69379704"|"Q184469"|"MAQI-TTAL MAQI VORGOS MA/QI MU/COI TOICAC"|"200. Coolmagort IV"|"POINT(-9.642778 52.061111)"
"201. Coolmagort V (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69379704"|"Q184469"|"MC GE?/ MAQ D/E?"|"201. Coolmagort V"|"POINT(-9.642778 52.061111)"
"202. Coolmagort VI (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69379704"|"Q184469"|"NIOTTVRECC MAQI/ GNI"|"202. Coolmagort VI"|"POINT(-9.642778 52.061111)"
"203. Coolmagort VII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q69379704"|"Q184469"|"MAQI-DECEDA MAQI"|"203. Coolmagort VII"|"POINT(-9.642778 52.061111)"
"205. Derrygariff (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395535"|"Q184469"|"SBNAG MAQQI-RCIA"|"205. Derrygariff"|"POINT(-9.665 51.974444)"
"206. Kilcoolaght East I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"[AN]M VIRRACC/ANNI TIGIR[N] C/TEDATTOQA MAQI/ VEDELMETTO"|"206. Kilcoolaght East I"|"POINT(-9.747222 52.071944)"
"207. Kilcoolaght East II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"ECC MAQI LUGUQRRIT"|"207. Kilcoolaght East II"|"POINT(-9.747222 52.071944)"
"208. Kilcoolaght East III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"UMALL"|"208. Kilcoolaght East III"|"POINT(-9.747222 52.071944)"
"209. Kilcoolaght East IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"AGGO MAQI AGILL"|"209. Kilcoolaght East IV"|"POINT(-9.747222 52.071944)"
"210. Kilcoolaght East V (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"DUBEB Q/N"|"210. Kilcoolaght East V"|"POINT(-9.747222 52.071944)"
"211. Kilcoolaght East VI (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"[RI]TTAVVECC MAQI VEDDONOS"|"211. Kilcoolaght East VI"|"POINT(-9.747222 52.071944)"
"212. Kilcoolaght East VII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"L M"|"212. Kilcoolaght East VII"|"POINT(-9.747222 52.071944)"
"213. Kilcoolaght East VIII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395537"|"Q184469"|"URG"|"213. Kilcoolaght East VIII"|"POINT(-9.747222 52.071944)"
"215. Whitefield I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395539"|"Q184469"|"ALATTO CELI BAT/TIG/NI"|"215. Whitefield I"|"POINT(-9.703056 52.080556)"
"216. Whitefield II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395539"|"Q184469"|"GOSOCTEAS MOSAC MAKINI"|"216. Whitefield II"|"POINT(-9.703056 52.080556)"
"217. Whitefield III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395539"|"Q184469"|"NOCATI MAQI MAQI-RET/ MAQI MUCOI UDDAMI"|"217. Whitefield III"|"POINT(-9.703056 52.080556)"
"218. Whitefield IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395539"|"Q184469"|"LAGOBB/ MUCO TUCACAC"|"218. Whitefield IV"|"POINT(-9.703056 52.080556)"
"22. Colbinstown IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391762"|"Q173332"|"EGNI KOI MAQI MUC/OI AI"|"22. Colbinstown IV"|"POINT(-6.756389 53.031111)"
"220. Derrynane (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395573"|"Q184469"|"ANM LLATIGNI MAQ MINERC/ MUCOI QCI?"|"220. Derrynane"|"POINT(-10.122222 51.773056)"
"223. Parknasilla (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395605"|"Q184469"|"ANM VINNAGITLET"|"223. Parknasilla"|"POINT(-9.875 51.858611)"
"23. Colbinstown V (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391762"|"Q173332"|"AVSSMAQVS"|"23. Colbinstown V"|"POINT(-6.756389 53.031111)"
"230. Cloghanecarhan (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395549"|"Q184469"|"EQQEGGNI MAQI MAQI-CARATTINN"|"230. Cloghanecarhan"|"POINT(-10.176944 51.894167)"
"241. Kilbonane (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396894"|"Q184469"|"BAIDAGNI MAQI ADDILONA NAGUNI MUCO BAIDANI NIR[???]MNIDAGNIESSICONIDDALA/ AMIT BAIDAGNI"|"241. Kilbonane"|"POINT(-9.673611 52.086111)"
"242. Parkavonear (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396972"|"Q184469"|"BRRUA/ENANN"|"242. Parkavonear"|"POINT(-9.558333 52.077778)"
"246a. Ardcanaght I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396815"|"Q184469"|"V MAQI"|"246a. Ardcanaght I"|"POINT(-9.733611 52.165556)"
"246b. Ardcanaght II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396815"|"Q184469"|"LMCBLTCL/LT"|"246b. Ardcanaght II"|"POINT(-9.733611 52.165556)"
"25. Colbinstown VII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391762"|"Q173332"|"LA"|"25. Colbinstown VII"|"POINT(-6.756389 53.031111)"
"252. Gurrane (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396933"|"Q184469"|"DUMELI MAQI GLASICONAS NIOTTA COBRANORA"|"252. Gurrane"|"POINT(-9.581944 52.226667)"
"253. Killorglin (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396826"|"Q184469"|"GALEOTOS"|"253. Killorglin"|"POINT(-9.540833 52.233611)"
"255. Tinnahally I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396900"|"Q184469"|"CILA MAQQI BAGN/I ANM VURUDDRANN MAQ/I DO/LIGENN"|"255. Tinnahally I"|"POINT(-9.7575 52.124722)"
"256. Tinnahally II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396900"|"Q184469"|"ANM TEGANN MAC DEGL/ANN"|"256. Tinnahally II"|"POINT(-9.7575 52.124722)"
"26. Donaghmore (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391654"|"Q173332"|"NETTAVROICC/ MAQI MUCCOI TRENALUGGO"|"26. Donaghmore"|"POINT(-6.551111 53.375278)"
