stone|name|shortname|stone_id|name_caps
159. Ballintaggart V|MAQI-DECEDAS|maqidecedas|-1|MAQI-DECEDAS
159. Ballintaggart V|GLASICONAS|glasiconas|-1|GLASICONAS
20. Colbinstown II|MAQI-DECEDAS|maqidecedas|-1|MAQI-DECEDAS
20. Colbinstown II|MARIN|marin|-1|MARIN
66. Faunkill and the Woods|MAQI-DECEDAS|maqidecedas|-1|MAQI-DECEDAS
66. Faunkill and the Woods|TURANIAS|turanias|-1|TURANIAS
101. Ballyhank V|MAQI-ESEA|maqiesea|-1|MAQI-ESEA
101. Ballyhank V|DOMANEQI|domaneqi|-1|DOMANEQI
274. Drumlohan III|MAQI-INI...|maqiini|-1|MAQI-INI...
274. Drumlohan III|[QE]TTEAS|qetteas|-1|[QE]TTEAS
198. Coolmagort II|MAQI-RITEAS|maqiriteas|-1|MAQI-RITEAS
198. Coolmagort II|TOICACI|toicaci|-1|TOICACI
198. Coolmagort II|MAQI-DUMILEAS|maqidumileas|-1|MAQI-DUMILEAS
200. Coolmagort IV|MAQI-TTAL|maqittal|-1|MAQI-TTAL
200. Coolmagort IV|VORGOS|vorgos|-1|VORGOS
200. Coolmagort IV|TOICACI|toicaci|-1|TOICACI
175. Burnham West|MAQQI-ERCCIA|maqqierccia|-1|MAQQI-ERCCIA
175. Burnham West|DOVINIA|dovinia|-1|DOVINIA
156. Ballintaggart II|MAQQI-IARI|maqqiiari|-1|MAQQI-IARI
156. Ballintaggart II|DOVINIAS|dovinias|-1|DOVINIAS
Bunkilla|MAQQI-LASIRE(N)|maqqilasiren|-1|MAQQI-LASIRE(N)
Bunkilla|BIRRAC|birrac|-1|BIRRAC
267. Dromore II|MEDUSI|medusi|-1|MEDUSI
267. Dromore II|LUGA|luga|-1|LUGA
147. Ballineesteenigh|MOINENA|moinena|-1|MOINENA
147. Ballineesteenigh|OLACON|olacon|-1|OLACON
299. Knockboy VIII|MUIBITI|muibiti|-1|MUIBITI
299. Knockboy VIII|MONGEDIAS|mongedias|-1|MONGEDIAS
47. Castletimon|NETA-CARI|netacari|-1|NETA-CARI
47. Castletimon|NETA-CAGI|netacagi|-1|NETA-CAGI
163. Ballintaggart IX|NETTA-LAMINACCA|nettalaminacca|-1|NETTA-LAMINACCA
163. Ballintaggart IX|DOVINIAS|dovinias|-1|DOVINIAS
26. Donaghmore|NETTAVROICC|nettavroicc|-1|NETTAVROICC
26. Donaghmore|TRENALUGGO?|trenaluggo|-1|TRENALUGGO?
217. Whitefield III|NOCATI|nocati|-1|NOCATI
217. Whitefield III|MAQI-RET/C...|maqiretc|-1|MAQI-RET/C...
217. Whitefield III|UDDAMI|uddami|-1|UDDAMI
19. Colbinstown I|OVANOS|ovanos|-1|OVANOS
19. Colbinstown I|IVACATTOS|ivacattos|-1|IVACATTOS
295. Knockboy IV|QECCIAS?|qeccias|-1|QECCIAS?
295. Knockboy IV|BROENIONAS?|broenionas|-1|BROENIONAS?
170. Ballymorereagh|QENILOCI|qeniloci|-1|QENILOCI
170. Ballymorereagh|MAQI-AINIA|maqiainia|-1|MAQI-AINIA
211. Kilcoolaght East VI|RITTAVVECCAS|rittavveccas|-1|RITTAVVECCAS
211. Kilcoolaght East VI|VEDDONOS|veddonos|-1|VEDDONOS
145. Arraglen|RONANN|ronann|-1|RONANN
145. Arraglen|COMOGANN|comogann|-1|COMOGANN
46. Houseland|SEDANI|sedani|-1|SEDANI
46. Houseland|CATTABBOTT|cattabbott|-1|CATTABBOTT
46. Houseland|DERCMASOC|dercmasoc|-1|DERCMASOC
Knockmahon I|SENAQ|senaq|-1|SENAQ
Knockmahon I|ENA|ena|-1|ENA
36. Lamoge I|SEVERRIT|severrit|-1|SEVERRIT
36. Lamoge I|ROTTAIS|rottais|-1|ROTTAIS
Ratass|SILLANN|sillann|-1|SILLANN
Ratass|VATTILLOGG|vattillogg|-1|VATTILLOGG
158. Ballintaggart IV|SUVALLOS|suvallos|-1|SUVALLOS
158. Ballintaggart IV|DUCOVAROS|ducovaros|-1|DUCOVAROS
28. Churchclara I|TASEGAGNI|tasegagni|-1|TASEGAGNI
28. Churchclara I|MACORBO?|macorbo|-1|MACORBO?
256. Tinnahally II|TEGANN|tegann|-1|TEGANN
256. Tinnahally II|DEGLANN|deglann|-1|DEGLANN
172. Ballywiheen|TOGITTACC[I]|togittacci|-1|TOGITTACC[I]
172. Ballywiheen|SAG(A)RETTOS|sagarettos|-1|SAG(A)RETTOS
57. Greenhill I|TRENU|trenu|-1|TRENU
57. Greenhill I|QRITTI|qritti|-1|QRITTI
298. Knockboy VII|VEDABAR|vedabar|-1|VEDABAR
298. Knockboy VII|ODR...REA|odrrea|-1|ODR...REA
Cloghabrody|VEDELMETO|vedelmeto|-1|VEDELMETO
Cloghabrody|LOGIDEAS|logideas|-1|LOGIDEAS
Cloghabrody|MUNICONA|municona|-1|MUNICONA
Knockmahon II|VEDELMETO|vedelmeto|-1|VEDELMETO
Knockmahon II|TOGITTACC[I]?|togittacci|-1|TOGITTACC[I]?
118. Monataggart I|VEQREQ|veqreq|-1|VEQREQ
118. Monataggart I|GLUNLEGGET|glunlegget|-1|GLUNLEGGET
12. Rathcroghan I|VRAICCI|vraicci|-1|VRAICCI
12. Rathcroghan I|MEDVVI|medvvi|-1|MEDVVI
255. Tinnahally I|VURUDDRANN|vuruddrann|-1|VURUDDRANN
255. Tinnahally I|DOLIGENN|doligenn|-1|DOLIGENN
