item,itemLabel,itemDescription,no
Q106675602,KNICK/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KNICK/1
Q106675603,KNKLA/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KNKLA/1
Q106675604,KNMAH/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KNMAH/1
Q106675605,KNOUR/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KNOUR/1
Q106675606,KNOUR/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KNOUR/2
Q106675607,KNWEE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KNWEE/1
Q106675608,KNWEE/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KNWEE/2
Q106675610,KNWEE/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KNWEE/3
Q106675611,KNWEE/4 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KNWEE/4
Q106675612,KNWEE/5 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KNWEE/5
Q106675613,KNWEE/6 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",KNWEE/6
Q106675614,LABAN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",LABAN/1
Q106675615,LAMOG/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",LAMOG/1
Q106675616,LAMOG/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",LAMOG/2
Q106675617,LEGAN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",LEGAN/1
Q106675618,LETER/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",LETER/1
Q106675619,LETWE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",LETWE/1
Q106675620,LHANE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",LHANE/1
Q106675621,LHANE/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",LHANE/2
Q106675622,LMNGH/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",LMNGH/1
Q106675623,LUGUL/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",LUGUL/1
Q106675624,LUGUL/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",LUGUL/2
Q106675625,MANGE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",MANGE/1
Q106675626,MAUIG/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",MAUIG/1
Q106675627,MNTRI/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",MNTRI/1
Q106675628,MNTRI/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",MNTRI/2
Q106675629,MNTRU/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",MNTRU/1
Q106675630,MONAT/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",MONAT/1
Q106675632,MONAT/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",MONAT/2
Q106675633,MONAT/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",MONAT/3
Q106675634,MONAT/4 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",MONAT/4
Q106675636,MRAME/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",MRAME/1
Q106675637,MUSIC/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",MUSIC/1
Q106675638,NEWLE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",NEWLE/1
Q106675639,NOBBE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",NOBBE/1
Q106675640,NOBBE/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",NOBBE/2
Q106675641,NOBBE/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",NOBBE/3
Q106675642,OLDIS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",OLDIS/1
Q106675643,PAINT/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",PAINT/1
Q106675644,PARAR/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",PARAR/1
Q106675647,PARAR/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",PARAR/2
Q106675648,POMCK/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",POMCK/1
Q106675649,PRIES/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",PRIES/1
Q106675652,PRKLA/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",PRKLA/1
Q106675653,RACOB/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RACOB/1
Q106675655,RANTA/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RANTA/1
Q106675656,RATAS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RATAS/1
Q106675658,RATHK/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RATHK/1
Q106675660,RCROG/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RCROG/1
Q106675661,RCROG/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RCROG/2
Q106675662,RFILD/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RFILD/1
Q106675663,RFILD/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RFILD/2
Q106675664,RFILD/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RFILD/3
Q106675666,RFILD/4 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RFILD/4
Q106675668,RFILD/5 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RFILD/5
Q106675669,RFILD/6 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RFILD/6
Q106675670,RGLAS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RGLAS/1
Q106675671,ROVMO/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",ROVMO/1
Q106675672,ROVMO/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",ROVMO/2
Q106675674,ROVMO/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",ROVMO/3
Q106675675,RTHCA/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RTHCA/1
Q106675677,RTHCA/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RTHCA/2
Q106675678,RTHDF/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RTHDF/1
Q106675679,RTHDF/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RTHDF/2
Q106675680,RTHKE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RTHKE/1
Q106675681,RTHKE/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RTHKE/2
Q106675682,RTHKE/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RTHKE/3
Q106675683,RTHOD/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RTHOD/1
Q106675684,RTHOD/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RTHOD/2
Q106675685,RUSHE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",RUSHE/1
Q106675686,SCHUD/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",SCHUD/1
Q106675687,SHANK/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",SHANK/1
Q106675688,STISL/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",STISL/1
Q106675689,TEMAN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",TEMAN/1
Q106675691,TERMY/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",TERMY/1
Q106675692,THOTO/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",THOTO/1
Q106675693,TINAH/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",TINAH/1
Q106675694,TINAH/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",TINAH/2
Q106675695,TLGMO/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",TLGMO/1
Q106675697,TMINE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",TMINE/1
Q106675698,TMOUN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Northern Ireland",TMOUN/1
Q106675699,TOOCU/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",TOOCU/1
Q106675700,TOURP/6 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",TOURP/6
Q106675701,TRALE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",TRALE/1
Q106675702,TULHE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",TULHE/1
Q106675703,TULLA/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",TULLA/1
Q106675704,WHFLD/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",WHFLD/1
Q106675705,WHFLD/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",WHFLD/2
Q106675706,WHFLD/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",WHFLD/3
Q106675707,WHFLD/4 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",WHFLD/4
Q106675708,WHFLD/5 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",WHFLD/5
Q106675709,WINDG/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",WINDG/1
Q106675710,WINDG/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",WINDG/2
