item,itemLabel,itemDescription,no
Q106675376,BLTAG/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BLTAG/1
Q106675377,BLTAG/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BLTAG/2
Q106675378,BLTAG/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BLTAG/3
Q106675379,BLTAG/4 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BLTAG/4
Q106675380,BLTAG/5 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BLTAG/5
Q106675382,BLTAG/6 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BLTAG/6
Q106675383,BLTAG/7 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BLTAG/7
Q106675384,BLTAG/8 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BLTAG/8
Q106675385,BLTAG/9 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BLTAG/9
Q106675386,BLTER/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BLTER/1
Q106675388,BLTER/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BLTER/2
Q106675389,BLVOO/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BLVOO/1
Q106675390,BLVOO/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BLVOO/2
Q106675391,BLYGH/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BLYGH/1
Q106675392,BQUIN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BQUIN/1
Q106675393,BRAGH/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BRAGH/1
Q106675394,BRAGH/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BRAGH/2
Q106675395,BRCKN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BRCKN/1
Q106675396,BREAS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BREAS/1
Q106675398,BRHAM/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BRHAM/1
Q106675399,BRHKL/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BRHKL/1
Q106675400,BRMOU/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BRMOU/1
Q106675401,BURGA/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BURGA/1
Q106675402,BURNF/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BURNF/1
Q106675403,BWEEN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",BWEEN/1
Q106675404,CAMP/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CAMP/1
Q106675405,CAMP/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CAMP/2
Q106675406,CARHA/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CARHA/1
Q106675407,CARHA/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CARHA/2
Q106675408,CARHA/3 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CARHA/3
Q106675409,CARIN/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CARIN/1
Q106675410,CHFLD/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CHFLD/1
Q106675411,CHLAR/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CHLAR/1
Q106675412,CHUIS/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CHUIS/1
Q106675414,CLCAH/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CLCAH/1
Q106675415,CLHEE/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CLHEE/1
Q106675416,CLMAC/152 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CLMAC/152
Q106675417,CLMAC/262 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CLMAC/262
Q106675418,CLMOR/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CLMOR/1
Q106675419,CLMOR/2 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CLMOR/2
Q106675420,CLOOM/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",CLOOM/1
Q106675421,COBOY/1 (Ogham Stone Concept by CISP),"Ogham Stone, Ireland",COBOY/1
