filename|uuid|transliteration|ogham|translation|ciic|o3d|label|townland|barony|geom_found|geom_orig|geom_lastrecorded|webgis
278._Drumlohan_VII.xml|558d9d1885dc|nan|nan|nan|278|278._Drumlohan_VII|CIIC 278. Drumlohan VII|||-7.465370, 52.163318|||WA024-033012-|
279._Drumlohan_VIII.xml|6b5de0302e4c|nan|nan|nan|279|279._Drumlohan_VIII|CIIC 279. Drumlohan VIII|||-7.465370, 52.163318|||WA024-033013-|
280._Drumlohan_IX.xml|3d6e75476f78|nan|nan|nan|280|280._Drumlohan_IX|CIIC 280. Drumlohan IX|||-7.465370, 52.163318|||WA024-033014-|
281._Drumlohan_X.xml|04b63459dafa|nan|nan|nan|281|281._Drumlohan_X|CIIC 281. Drumlohan X|||-7.465370, 52.163318|||WA024-033015-|
285._Kilbeg.xml|3903e339f947|nan|nan|nan|285|285._Kilbeg|CIIC 285. Kilbeg||Decies||-7.323246,52.165161|-6.254558,53.340408|WA025-078----|
292._Knockboy_I.xml|6853dfb558ad|nan|nan|nan|292|292._Knockboy_I|CIIC 292. Knockboy I|Knockboy|Decies without Drum|||-7.684857, 52.194802|WA013-034006-|
293._Knockboy_II.xml|be10ddf6b64d|nan|nan|nan|293|293._Knockboy_II|CIIC 293. Knockboy II|Knockboy|Decies without Drum|||-7.684809, 52.194724|WA013-034007-|
294._Knockboy_III.xml|0b86b40c6f88|nan|nan|nan|294|294._Knockboy_III|CIIC 294. Knockboy III|Knockboy|Decies without Drum|||-7.684809, 52.194724|WA013-034008-|
295._Knockboy_IV.xml|40927a0103ba|nan|nan|nan|295|295._Knockboy_IV|CIIC 295. Knockboy IV|Knockboy|Decies without Drum|||-7.684968, 52.194711|WA013-034009-|
296._Knockboy_V.xml|f67be2237944|nan|nan|nan|296|296._Knockboy_V|CIIC 296. Knockboy V|Knockboy|Decies without Drum|||-7.685104, 52.194752|WA013-034010-|
297._Knockboy_VI.xml|c8c4ccf209f8|nan|nan|nan|297|297._Knockboy_VI|CIIC 297. Knockboy VI|Knockboy|Decies without Drum|||-7.684968, 52.194711|WA013-034014-|
298._Knockboy_VII.xml|3b4be544e8d5|nan|nan|nan|298|298._Knockboy_VII|CIIC 298. Knockboy VII|Knockboy|Decies without Drum|||-7.685057, 52.194773|WA013-034005-|
299._Knockboy_VIII.xml|2a5caa74a08b|nan|nan|nan|299|299._Knockboy_VIII|CIIC 299. Knockboy VIII|Salterbridge|Coshmore and Coshbride|||-7.881039, 52.148923|WA013-034015-|
300._Island.xml|10908a1cd7c0|nan|nan|nan|300|300._Island|CIIC 300. Island|(Old)Island|Decieswithout Drum|-7.481665, 52.113809|||WA032-029002|
1083._Rathkenny_I.xml|d1bff9b4a522|nan|nan|nan|1083|1083._Rathkenny_I|CIIC 1083. Rathkenny I|Rathkenny|Clanmaurice|-9.721501, 52.333343|||KE021-087002-|
1084._Rathkenny_II.xml|310eb2e089e2|nan|nan|nan|1084|1084._Rathkenny_II|CIIC 1084. Rathkenny II|Rathkenny|Clanmaurice|-9.721501, 52.333343|||KE021-087005-|
246a._Ardcanaght_I.xml|d8cd76289fea|nan|nan|nan|246a|246a._Ardcanaght_I|CIIC 246a. Ardcanaght|Ardcanaght|Trughanacmy|-9.725042, 52.165998||-9.725848, 52.169079|KE047-026001-|
246b._Ardcanaght_II.xml|47a63ec48b7b|nan|nan|nan|246b|246b._Ardcanaght_II|CIIC 246b. Ardcanaght|Ardcanaght|Trughanacmy|-9.725042, 52.165998||-9.725848, 52.169079|KE047-026003-|
Ardfert_II.xml|010f8520c442|nan|nan|nan|nan|Ardfert_II|Ardfert II|Ardfert|Clanmaurice|-9.782728, 52.328817|||KE020-046030-|
Ballybarrack.xml|c18e2916a2ff|nan|nan|nan|nan|Ballybarrack|Ballybarrack|Ballybarrack|Upper Dundalk|-6.424467, 53.986185||-6.397017, 54.004625|LH007-072006-|
Bunkilla.xml|9f64f6646dcc|nan|nan|nan|nan|Bunkilla|Bunkilla|Bunkilla|East Muskerry|-8.699286, 51.978137||-6.254558,53.340408|CO061-074----|
Churchclara_II.xml|e268d6fdf0a7|nan|nan|nan|nan|Churchclara_II|Churchclara II|||-7.146098, 52.655485|||KK020-017010-|
Church_Island.xml|8753a1dc9cce|nan|nan|nan|nan|Church_Island|Church Island|Church Island|Iveragh|-10.283297, 51.937555||-8.494544, 51.896371|KE079-032004-|
Cloghabrody.xml|c5ee571d03ce|nan|nan|nan|nan|Cloghabrody|Cloghabrody|Cloghabrody|Columbkille|-7.128603, 52.531772||-7.157583, 52.510880|KK028-062011-|
Coumlanders.xml|609b9351ac9c|nan|nan|nan|nan|Coumlanders|Coumlanders|Coumlanders|Corkaguiney|||-10.405999, 52.166581|KE042-164----|
Drummin_II.xml|5dff0b7abf0d|nan|nan|nan|nan|Drummin_II|Drummin II|Drummin|Castlereagh|-8.369872, 53.834331|||RO015-051004-|
Keel_West.xml|024b1e6fc904|nan|nan|nan|nan|Keel_West|Keel West|Keel West|Burrishoole|-10.202377, 53.968954||-6.254558,53.340408|MA053-003009-|
Kilgrovan_VI.xml|128160489798|nan|nan|nan|nan|Kilgrovan_VI|Kilgrovan VI|Kilgrovan|Decies without Drum|-7.548852,52.089619||-6.254558,53.340408|WA031-045008-|
Kilgrovan_VII.xml|56553a243a63|nan|nan|nan|nan|Kilgrovan_VII|Kilgrovan VII|Kilgrovan|Decies|-7.548852,52.089619||-6.254558,53.340408|WA031-045015-|
Knockmahon_I.xml|02a67cf3ff92|nan|nan|nan|nan|Knockmahon_I|Knockmahon I|||-7.354360, 52.137783||-7.362347, 52.140285|WA025-128001-|
Knockmahon_II.xml|04d549b4083e|nan|nan|nan|nan|Knockmahon_II|Knockmahon II|||-7.354360, 52.137783||-7.362428, 52.140308|WA025-128002-|
Ratass.xml|029cd95c4ec3|nan|nan|nan|nan|Ratass|Ratass|Ratass|Trughanacmy|-9.681883, 52.267049|||KE029-157002-|
Rathkenny_IV.xml|589c3592a537|nan|nan|nan|nan|Rathkenny_IV|Rathkenny IV|Rathkenny|Clanmaurice|-9.721501, 52.333343|||KE021-087007-|
Scattery_Island.xml|0dca2985664f|nan|nan|nan|nan|Scattery_Island|Scattery Island|Scattery Island|Moyarta|-9.517780, 52.615507||-9.514446, 52.614625|CL067-024016-|
Shankill.xml|91ce73db25e4|nan|nan|nan|nan|Shankill|Shankill|Shankill|Gowran|-7.004731, 52.689927||-7.254813, 52.654265|KK016-013----|
Tullaherin_II.xml|36cc316e81ca|nan|nan|nan|nan|Tullaherin_II|Tullaherin II||||-7.130026, 52.579280||KK024-062009-|
