ciic|label|lon|lat
263|CIIC 263. Ardmore I|-7.725680|51.948752
264|CIIC 264. Ardmore|-7.726208|51.948826
265|CIIC 265. Ardmore III|-7.725973|51.948556
266|CIIC 266. Dromore I|-7.847713|52.074413
267|CIIC 267. Dromore II|-7.847708|52.074382
268|CIIC 268. Dromore III|-7.847710|52.074331
272|CIIC 272. Drumlohan I|-7.465370|52.163318
273|CIIC 273. Drumlohan II|-7.465370|52.163318
274|CIIC 274. Drumlohan III|-7.465370|52.163318
275|CIIC 275. Drumlohan IV|-7.465370|52.163318
276|CIIC 276. Drumlohan V|-7.465370|52.163318
277|CIIC 277. Drumlohan VI|-7.465370|52.163318
278|CIIC 278. Drumlohan VII|-7.465370|52.163318
279|CIIC 279. Drumlohan VIII|-7.465370|52.163318
280|CIIC 280. Drumlohan IX|-7.465370|52.163318
281|CIIC 281. Drumlohan X|-7.465370|52.163318
285|CIIC 285. Kilbeg|-6.254558|53.340408
292|CIIC 292. Knockboy I|-7.684857|52.194802
293|CIIC 293. Knockboy II|-7.684809|52.194724
294|CIIC 294. Knockboy III|-7.684809|52.194724
295|CIIC 295. Knockboy IV|-7.684968|52.194711
296|CIIC 296. Knockboy V|-7.685104|52.194752
297|CIIC 297. Knockboy VI|-7.684968|52.194711
298|CIIC 298. Knockboy VII|-7.685057|52.194773
299|CIIC 299. Knockboy VIII|-7.881039|52.148923
300|CIIC 300. Island|-7.481665|52.113809
1083|CIIC 1083. Rathkenny I|-9.721501|52.333343
1084|CIIC 1084. Rathkenny II|-9.721501|52.333343
246a|CIIC 246a. Ardcanaght|-9.725042|52.165998
24bb|CIIC 246b. Ardcanaght|-9.725042|52.165998
|Ardfert II|-9.782728|52.328817
|Ballybarrack|-6.424467|53.986185
|Bunkilla|-8.699286|51.978137
|Churchclara II|-7.146098|52.655485
|Church Island|-10.283297|51.937555
|Cloghabrody|-7.128603|52.531772
|Coumlanders|-10.405999|52.166581
|Drummin II|-8.369872|53.834331
|Keel West|-10.202377|53.968954
|Kilgrovan VI|-7.548852|52.089619
|Kilgrovan VII|-7.548852|52.089619
|Knockmahon I|-7.354360|52.137783
|Knockmahon II|-7.354360|52.137783
|Ratass|-9.681883|52.267049
|Rathkenny IV|-9.721501|52.333343
|Scattery Island|-9.517780|52.615507
|Shankill|-7.004731|52.689927
|Tullaherin II|-7.130026|52.579280
