"label"|"desc"|"country"|"site"|"county"|"inscription"|"ino"
"48. Donard (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391710"|"Q182591"|"IAQINI KOI/ MAQI MUCOI"|"48. Donard"
"49. Baltinglass (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391683"|"Q182591"|"CCI MAQ INI"|"49. Baltinglass"
"50. Boleycarrigeen (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391685"|"Q182591"|"VOTI"|"50. Boleycarrigeen"
"51. Knickeen (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391711"|"Q182591"|"MAQI NILI"|"51. Knickeen"
"57. Greenhill I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q72006007"|"Q162475"|"TRENU MAQI MUCOI QRITTI"|"57. Greenhill I"
"58. Greenhill II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q72006007"|"Q162475"|"CATTUBUTTAS MAQI"|"58. Greenhill II"
"66. Faunkill and the Woods (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393998"|"Q162475"|"MAQI-DECCEDDAS AVI TURANIAS"|"66. Faunkill and the Woods"
"69. Ahalisky I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394002"|"Q162475"|"GIRAGNI"|"69. Ahalisky I"
"70. Ahalisky II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394002"|"Q162475"|"CUNAGUSOS MAQI MUCOI VIRA/GNI"|"70. Ahalisky II"
"71. Ahalisky III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394002"|"Q162475"|"COIMAGNI MAQI MOCOI G"|"71. Ahalisky III"
"79. Rathcanning I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393934"|"Q162475"|"TULENA MUC RAN"|"79. Rathcanning I"
"80. Rathcanning II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393934"|"Q162475"|"?M?"|"80. Rathcanning II"
"97. Ballyhank I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394010"|"Q162475"|"LL MAQI VORR/TIGUR/N"|"97. Ballyhank I"
"98. Ballyhank II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394010"|"Q162475"|"CORBAGNI/ KOI MAQI MOC/COI COROTANI"|"98. Ballyhank II"
"99. Ballyhank III (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394010"|"Q162475"|"SACATTI/NI"|"99. Ballyhank III"
"Ardfert II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85394024"|"Q184469"|"OC/GIC"|"Ardfert II"
"Ballybarrack.xml(Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626868"|"Q183539"|"MAQI-CORABIR MAQI TANB NETA-SALAGIA MAQI MUCOI"|"Ballybarrack"
"Bunkilla.xml(Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626869"|"Q162475"|"ANM MAQQI-LASIRE MAQQI BIRRAC...?"|"Bunkilla"
"Church Island (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626870"|"Q184469"|"BECCDINN MACI/ R/ITTECC"|"Church Island"
"Churchclara II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391656"|"Q180231"|"GELAGNI AVI"|"Churchclara II"
"Cloghabrody.xml(Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626871"|"Q180231"|"VEDDELLEMETTO MU/CI/ LOGIDDEAS/ AVVI MUNICCONA"|"Cloghabrody"
"Coumlanders.xml(Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626872"|"Q184469"|"RETAGIN MAQI DOVU"|"Coumlanders"
"Drummin II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85390417"|"Q179437"|"RAVASA KOI MAQQI D/TL SENN"|"Drummin II"
"Kilgrovan VI (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396854"|"Q184594"|"...U MAQI CUMUGODU/U MUCO"|"Kilgrovan VI"
"Kilgrovan VII (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85396854"|"Q184594"|"UMU T"|"Kilgrovan VII"
"Knockmahon I (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626874"|"Q184594"|"SENAQ MAQI/ MUCOI ENA"|"Knockmahon I"
"Knockmahon II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626874"|"Q184594"|"VEDILIMETO/ MAQI/ TOQITAQ"|"Knockmahon II"
"Ratass.xml(Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626875"|"Q184469"|"ANM SILLANN MAQ VATTILLOGG"|"Ratass"
"Rathkenny IV (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626866"|"Q184469"|"V A S"|"Rathkenny IV"
"Scattery Island (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626876"|"Q181862"|"NS"|"Scattery Island"
"Shankill.xml(Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q106626901"|"Q180231"|"MAQICUNALIGEAS/ MAQI COILLI/ MUCOI COSCI/EAS"|"Shankill"
"Tullaherin II (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391735"|"Q180231"|"DT MUCOI RGN"|"Tullaherin II"
