"label"|"desc"|"country"|"site"|"county"|"inscription"|"ino"
"163. Ballintaggart IX (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85393964"|"Q184469"|"NETTA-LAMINACCA KO/I MA/QQI MUCOI DOVINIAS"|"163. Ballintaggart IX"
"166. Ballinvoher (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395552"|"Q184469"|"COIMAGNI MAQI VITALIN"|"166. Ballinvoher"
"17. Tuckamine (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85391650"|"Q181882"|"...MUCOI MUCCI..."|"17. Tuckamine"
"170. Ballymorereagh (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395592"|"Q184469"|"QENILOCI MAQI MAQI-AINIA MUCOI"|"170. Ballymorereagh"
"171. Ballynahunt (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395518"|"Q184469"|"DUGENNGI MAQI RODOS"|"171. Ballynahunt"
"172. Ballywiheen (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395519"|"Q184469"|"TOGITTACC MAQI SAGARETTOS"|"172. Ballywiheen"
"173. Brackloon (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395554"|"Q184469"|"MAQI MUCCOI"|"173. Brackloon"
"175. Burnham West (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395594"|"Q184469"|"MAQQI-ERCCIA MAQQI MUCOI DOVINIA"|"175. Burnham West"
"178. Coumeenole (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395557"|"Q184469"|"ERC MAQI MAQI-ERCIAS MU DOVINIA"|"178. Coumeenole"
"180. Emlagh East (Ogham Stone Concept by the Ogham in 3D Project)"|"Ogham Stone, Ireland"|"Q27"|"Q85395559"|"Q184469"|"BRUSCCOS MAQQI CALIACI"|"180. Emlagh East"
