"id_stone","id_site"
20000067,40000001
30000099,40000002
30000100,40000002
20000176,40000002
20000181,40000002
30000109,40000002
20000174,40000002
10000205,40000002
10000199,40000002
30000108,40000002
30000103,40000002
10000202,40000002
10000209,40000002
20000182,40000002
10000208,40000002
10000201,40000002
30000102,40000002
20000178,40000002
10000204,40000002
10000203,40000002
20000177,40000002
20000179,40000002
20000180,40000002
30000105,40000002
10000206,40000002
20000173,40000002
30000106,40000002
30000104,40000002
10000200,40000002
30000101,40000002
20000175,40000002
20000003,40000003
10000047,40000003
10000045,40000003
20000004,40000003
20000005,40000003
10000044,40000003
10000312,40000004
20000001,40000004
20000002,40000005
10000249,40000005
30000015,40000006
20000006,40000006
20000007,40000006
10000048,40000006
10000049,40000006
30000014,40000006
30000140,40000007
30000138,40000007
30000139,40000007
20000009,40000007
20000008,40000007
10000291,40000007
10000292,40000007
20000010,40000007
10000290,40000007
20000014,40000008
10000050,40000008
20000015,40000009
10000168,40000010
10000169,40000010
20000016,40000010
30000085,40000010
30000086,40000010
20000017,40000010
30000013,40000011
20000018,40000011
10000042,40000011
30000146,40000011
10000191,40000012
10000189,40000012
20000013,40000012
20000012,40000012
30000094,40000012
10000190,40000012
20000011,40000012
30000095,40000012
30000093,40000012
20000019,40000013
10000051,40000013
20000022,40000014
10000170,40000014
30000016,40000015
10000052,40000015
20000020,40000015
10000293,40000016
20000021,40000016
30000018,40000017
10000054,40000017
20000049,40000017
10000183,40000018
20000068,40000018
10000059,40000019
20000054,40000019
10000055,40000019
10000056,40000019
20000058,40000019
10000060,40000019
20000053,40000019
20000057,40000019
30000023,40000019
10000058,40000019
10000062,40000019
30000021,40000019
10000061,40000019
20000052,40000019
20000055,40000019
20000056,40000019
30000020,40000019
30000024,40000019
20000051,40000019
30000022,40000019
10000064,40000020
20000080,40000020
30000031,40000020
30000029,40000020
20000081,40000020
30000027,40000020
20000082,40000020
20000079,40000020
30000033,40000020
30000034,40000020
10000070,40000020
30000026,40000020
10000065,40000020
30000025,40000020
30000028,40000020
10000072,40000020
20000083,40000020
20000076,40000020
30000032,40000020
10000071,40000020
10000067,40000020
10000063,40000020
20000075,40000020
20000077,40000020
10000066,40000020
10000069,40000020
20000078,40000020
20000085,40000021
20000084,40000021
10000074,40000021
10000073,40000021
30000035,40000022
10000075,40000022
20000072,40000022
10000261,40000023
20000050,40000023
20000065,40000024
20000066,40000024
10000076,40000024
10000077,40000024
20000046,40000025
30000147,40000025
10000256,40000026
30000126,40000026
20000047,40000026
20000048,40000027
20000091,40000028
10000078,40000028
20000090,40000028
20000063,40000029
10000182,40000029
10000320,40000030
20000027,40000030
30000003,40000030
20000029,40000030
20000025,40000030
20000028,40000030
30000145,40000030
10000004,40000030
30000002,40000030
10000005,40000030
10000003,40000030
20000026,40000030
20000030,40000030
10000321,40000030
30000144,40000030
10000322,40000030
30000143,40000030
30000004,40000030
10000313,40000031
10000318,40000031
20000043,40000031
20000032,40000031
10000311,40000031
10000319,40000031
20000042,40000031
20000031,40000031
10000317,40000031
10000308,40000031
20000044,40000031
20000045,40000031
20000034,40000031
10000310,40000031
20000041,40000031
10000315,40000031
20000039,40000031
20000038,40000031
10000309,40000031
20000037,40000031
10000304,40000031
10000316,40000031
10000306,40000031
10000314,40000031
10000305,40000031
20000036,40000031
10000307,40000031
20000040,40000031
20000033,40000031
20000035,40000031
30000037,40000032
20000088,40000032
10000080,40000032
20000024,40000033
10000281,40000033
20000023,40000033
10000279,40000033
30000038,40000034
20000073,40000034
10000081,40000034
20000089,40000035
10000234,40000035
10000196,40000036
10000233,40000037
20000061,40000037
10000197,40000038
20000087,40000038
20000086,40000038
10000198,40000038
20000099,40000039
30000039,40000039
10000082,40000039
10000268,40000040
20000069,40000040
30000132,40000040
20000060,40000041
10000257,40000041
20000059,40000042
10000006,40000042
10000171,40000043
20000062,40000043
20000071,40000044
10000282,40000044
30000133,40000045
20000064,40000045
10000270,40000045
20000070,40000046
10000172,40000046
10000083,40000047
20000092,40000047
30000040,40000047
10000084,40000048
20000096,40000048
10000002,40000049
30000001,40000049
20000093,40000049
20000095,40000050
30000148,40000051
20000097,40000052
10000298,40000052
10000276,40000053
20000098,40000053
20000094,40000054
10000085,40000054
30000041,40000054
10000087,40000055
10000086,40000055
20000100,40000055
20000101,40000055
20000105,40000056
10000147,40000056
20000102,40000057
10000295,40000057
20000103,40000057
10000294,40000057
20000104,40000057
10000240,40000058
20000143,40000058
20000144,40000058
10000242,40000058
10000033,40000059
20000147,40000059
20000152,40000060
20000150,40000061
10000260,40000061
10000266,40000062
20000151,40000062
30000130,40000062
20000108,40000063
30000149,40000063
30000150,40000064
10000207,40000064
20000107,40000064
30000107,40000064
20000106,40000065
30000151,40000066
10000149,40000067
20000109,40000067
30000082,40000067
20000110,40000068
20000111,40000069
20000112,40000069
10000057,40000070
30000019,40000070
20000113,40000070
20000114,40000070
10000113,40000071
20000115,40000071
10000146,40000072
20000117,40000072
30000087,40000073
10000148,40000073
30000060,40000073
30000050,40000073
10000125,40000073
20000118,40000073
20000124,40000073
20000122,40000073
30000081,40000073
10000114,40000073
10000173,40000073
10000159,40000073
30000078,40000073
20000123,40000073
10000137,40000073
20000119,40000073
10000101,40000073
20000121,40000073
20000120,40000073
20000128,40000074
10000151,40000074
10000150,40000074
20000127,40000074
10000034,40000075
20000129,40000075
10000008,40000076
20000125,40000076
20000126,40000076
10000007,40000076
10000118,40000077
30000058,40000077
20000133,40000077
20000130,40000077
30000064,40000077
20000131,40000077
30000061,40000077
30000059,40000077
10000111,40000077
30000063,40000077
30000062,40000077
10000112,40000077
20000134,40000077
20000135,40000077
10000117,40000077
20000136,40000077
20000132,40000077
10000115,40000077
10000116,40000077
10000110,40000077
30000057,40000077
20000137,40000078
10000299,40000078
20000138,40000079
10000275,40000079
20000116,40000080
10000174,40000080
20000139,40000081
10000323,40000081
10000263,40000082
20000140,40000082
30000042,40000083
10000088,40000083
20000141,40000083
30000152,40000084
10000175,40000085
20000142,40000085
10000235,40000086
20000145,40000086
10000036,40000087
20000148,40000087
20000149,40000088
20000153,40000089
10000119,40000089
20000146,40000090
10000236,40000090
20000212,40000091
10000195,40000091
10000138,40000092
30000079,40000092
20000156,40000092
20000154,40000093
10000009,40000093
10000136,40000094
20000155,40000094
30000065,40000095
10000120,40000095
20000157,40000095
20000158,40000096
10000089,40000096
10000185,40000097
30000092,40000097
20000162,40000097
30000131,40000098
20000160,40000098
10000267,40000098
10000301,40000099
20000166,40000099
20000172,40000100
10000142,40000100
20000159,40000101
10000152,40000101
20000168,40000102
10000139,40000102
20000169,40000103
20000170,40000103
30000096,40000103
10000193,40000103
10000192,40000103
10000194,40000103
20000171,40000103
30000098,40000103
30000097,40000103
20000167,40000104
10000243,40000104
10000013,40000105
20000183,40000105
30000153,40000105
30000007,40000105
20000184,40000107
10000248,40000107
20000185,40000108
20000186,40000108
10000230,40000108
10000218,40000108
20000161,40000109
10000283,40000109
20000187,40000110
10000245,40000110
20000164,40000111
20000165,40000111
20000163,40000111
20000188,40000112
10000091,40000112
30000043,40000112
20000189,40000113
10000092,40000113
30000044,40000113
10000273,40000114
20000190,40000115
10000287,40000116
20000192,40000116
30000137,40000116
10000241,40000117
30000120,40000117
20000191,40000117
20000193,40000118
10000043,40000118
20000194,40000119
10000210,40000119
20000197,40000120
10000303,40000120
20000195,40000121
20000196,40000121
10000212,40000121
10000211,40000121
20000198,40000122
10000094,40000123
20000204,40000123
10000093,40000124
20000207,40000124
20000208,40000125
10000039,40000126
20000199,40000126
10000038,40000126
20000201,40000126
10000037,40000126
20000200,40000126
10000010,40000127
20000206,40000127
10000285,40000128
20000202,40000128
10000284,40000128
20000203,40000128
20000205,40000129
10000176,40000130
20000218,40000130
30000088,40000130
20000217,40000131
10000143,40000131
20000209,40000132
10000095,40000132
20000210,40000133
10000288,40000133
30000121,40000134
20000211,40000134
10000250,40000134
10000251,40000135
20000216,40000135
30000135,40000136
20000213,40000136
10000277,40000136
20000214,40000136
30000136,40000136
10000278,40000136
20000220,40000137
10000265,40000138
